route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
7B,478C63C1-9928-4080-BC80-0E8143F4DF1B,7B,BEAR CREEK,Georgian College to Park Place,3,F58220,000000
8B,478C63C1-9928-4080-BC80-0E8143F4DF1B,8B,Crosstown/Essa,Park Place to Georgian College ,3,000000,FFFFFF
12A,478C63C1-9928-4080-BC80-0E8143F4DF1B,12A,GEORGIAN MALL,Barrie South GO to Georgian Mall,3,F8A1BE,000000
2B,478C63C1-9928-4080-BC80-0E8143F4DF1B,2B,PARK PLACE,Downtown Barrie Terminal to Park Place,3,006838,FFFFFF
7A,478C63C1-9928-4080-BC80-0E8143F4DF1B,7A,GROVE,Park Place to Georgian College,3,F58220,000000
11,478C63C1-9928-4080-BC80-0E8143F4DF1B,11,NORTH LOOP,NORTH LOOP to Georgian College  to Downtown Barrie Terminal,3,B2D235,000000
400,478C63C1-9928-4080-BC80-0E8143F4DF1B,400,EXPRESS,Park Place to RVH,3,00C4DC,000000
12B,478C63C1-9928-4080-BC80-0E8143F4DF1B,12B,BARRIE SOUTH GO,Georgian Mall to Barrie South GO,3,F8A1BE,000000
100,478C63C1-9928-4080-BC80-0E8143F4DF1B,100,RED,Bayfield - Georgian - Blake ,3,910005,FFFFFF
101,478C63C1-9928-4080-BC80-0E8143F4DF1B,101,BLUE,Blake - College - Bayfield ,3,2464A2,000000
10,478C63C1-9928-4080-BC80-0E8143F4DF1B,10,NORTH LOOP,NORTH LOOP to Georgian College to Downtown Barrie Terminal,3,681757,FFFFFF
2A,478C63C1-9928-4080-BC80-0E8143F4DF1B,2A,DUNLOP,Park Place to Downtown Barrie Terminal,3,006838,FFFFFF
8A,478C63C1-9928-4080-BC80-0E8143F4DF1B,8A,RVH/YONGE,Park Place to Downtown Barrie Terminal to Georgian College,3,000000,FFFFFF
15A,478C63C1-9928-4080-BC80-0E8143F4DF1B,15A,Mapleview Construction Shuttle,Mapleview Construction Shuttle,3,2464A2,000000
15B,478C63C1-9928-4080-BC80-0E8143F4DF1B,15B,Mapleview Construction Shuttle,Mapleview Construction Shuttle,3,000000,FFFFFF
KP1,478C63C1-9928-4080-BC80-0E8143F4DF1B,KP1,Kempenfest Shuttle,Kempenfest Shuttle,3,000000,FFFFFF
