shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
9567c898-6050-4bc2-a182-a81164b99a34,44.385853099758,-79.6917539335278,121,8580.69
2e2cf699-5217-46bb-8b80-6b42b26304d2,44.4120865709833,-79.6691320639331,0,0
376c059e-f300-41e0-8588-3cd4b3d7bd01,44.3832798040811,-79.7189790013912,205,15217.14
9a9b5234-eb8c-4e9a-a914-d2fc3a3ad360,44.3227931453462,-79.7230055763129,76,11249.25
c1ed3fa5-3c6f-44fc-a1a5-08bd31349072,44.4108614676159,-79.6739744068368,134,10046.58
8816892e-cd42-4495-bebd-1aef48d3dfdc,44.3819819844822,-79.6908644485977,99,9039.01
5f624ab3-f626-4508-b918-38edd2c3535a,44.3903634826982,-79.687587404753,34,2534.88
376c059e-f300-41e0-8588-3cd4b3d7bd01,44.3907913241523,-79.6988184865314,249,17718.52
af0b9846-3e97-4108-8fe1-a3764bd28503,44.3438060751877,-79.7059793496534,110,15647.62
a68b8886-0e30-41c4-a172-536b1d38dad6,44.3397648238995,-79.7179026733579,57,7671.92
cd3709c8-7dd7-4c0c-a21e-8f9878b3d40e,44.3662482338102,-79.7134898724754,86,8113.49
8925c012-0318-4632-8e48-1eeee6c7b0ba,44.3752201955516,-79.6985518049697,14,956.76
cd3709c8-7dd7-4c0c-a21e-8f9878b3d40e,44.3378862455457,-79.6789313091999,149,14261.69
9877c86d-c214-4c51-9799-fed89bd8ac56,44.37211017,-79.7014221,80,14420.74
0459b394-1c85-4843-962b-08e01b7177d6,44.3644073857481,-79.699763173926,39,5989.35
71152a41-41dd-4b6b-93b7-d9ccbc16e805,44.3904893750192,-79.6813316299129,246,23298.68
5b89860f-418c-40fe-b715-cef5bf9c5926,44.4137925996563,-79.6689331223606,366,29188.45
c3b234d5-5f2c-45f7-9d7b-9588de46cb05,44.35004,-79.629634,25,5817.19
c3b234d5-5f2c-45f7-9d7b-9588de46cb05,44.3492902923276,-79.6281334844503,45,7519.22
2e2cf699-5217-46bb-8b80-6b42b26304d2,44.3217549476635,-79.7281311847311,223,18026.92
8925c012-0318-4632-8e48-1eeee6c7b0ba,44.411402921982,-79.6889129492063,107,8457.41
5b89860f-418c-40fe-b715-cef5bf9c5926,44.3413255624254,-79.680433205872,85,6454.72
a68b8886-0e30-41c4-a172-536b1d38dad6,44.3410775837921,-79.6798169771278,5,97.81
8c043e7e-5249-4062-b3fd-57444d2399a0,44.34205309,-79.70697499,55,8843.79
