stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,platform_code,wheelchair_boarding
1,1,Downtown Hub,,44.387588,-79.690372,0,,,0
2,2,Downtown Hub,,44.387753,-79.690237,0,,,0
3,3,Ecole Catholique,,44.39596232,-79.71669424,0,,,0
4,4,Austen Lane,,44.39621595,-79.71720756,0,,,0
5,5,Anne at Dunlop,,44.3822016,-79.70473412,0,,,0
6,6,Anne at Dunlop,,44.38237491,-79.70522385,0,,,0
7,7,Brock Street,,44.37573805,-79.69954204,0,,,0
8,8,Brock Street,,44.37535431,-79.69885335,0,,,0
12,12,Portageview Public School,,44.39290293,-79.71430148,0,,,0
13,13,Castle Drive,,44.39285782,-79.71401954,0,,,0
14,14,Essa at Gowan,,44.373522,-79.691152,0,,,0
15,15,Anne at Cundles,,44.39832266,-79.71897992,0,,,0
16,16,Cundles at Anne,,44.39886825,-79.71879042,0,,,0
17,17,Edgehill Drive,,44.38697443,-79.70892086,0,,,0
18,18,Anne at Edgehill Drive,,44.38715706,-79.70935615,0,,,0
21,21,Anne at John Street,,44.3781,-79.701153,0,,,0
22,22,Anne at John Street,,44.377472,-79.701,0,,,0
23,23,Shelly Lane,,44.3944009,-79.71562628,0,,,0
24,24,Shirley Avenue,,44.39053543,-79.71222054,0,,,0
25,25,Shirley Avenue,,44.3907245,-79.71217627,0,,,0
26,26,Anne at Donald,,44.384088,-79.706722,0,,,0
27,27,Anne at Donald,,44.38407,-79.706414,0,,,0
28,28,Valley Drive,,44.39464993,-79.71558916,0,,,0
29,29,Anne at Vespra Street,,44.38011853,-79.7029749,0,,,0
30,30,Anne at Victoria Street,,44.37944567,-79.70270864,0,,,0
32,32,Eaglestone Lane,,44.3532061,-79.72225259,0,,,0
34,34,Ardagh at Ferndale,,44.35513502,-79.7144519,0,,,0
35,35,Ardagh at Ferndale,,44.35500455,-79.71410519,0,,,0
36,36,Grant's Way,,44.3520781,-79.72746197,0,,,0
37,37,Hawkins Drive,,44.35342967,-79.72189311,0,,,0
38,38,Snowshoe Trail,,44.35598594,-79.70986103,0,,,0
39,39,Snowshoe Trail,,44.3561345,-79.70982703,0,,,0
40,40,Wildflower Court,,44.35141836,-79.73092996,0,,,0
41,41,Wildflower Court,,44.35127803,-79.73086153,0,,,0
42,42,Wright Drive,,44.35231205,-79.72698487,0,,,0
45,45,Athabaska at Essa,,44.32207598,-79.72029115,0,,,0
46,46,Athabaska at Essa,,44.32197245,-79.7188192,0,,,0
47,47,Lougheed Road,,44.32184739,-79.72805133,0,,,0
48,48,Lougheed Road,,44.3218044,-79.72753192,0,,,0
49,49,Rundle Crescent,,44.32269687,-79.72353994,0,,,0
50,50,Rundle Cresent,Rundle Crescent,44.32258387,-79.72355319,0,,,0
54,54,Brooks Street,,44.36796584,-79.68717485,0,,,0
55,55,Innisfil Street,,44.36792165,-79.69228597,0,,,0
56,56,Marshall Street,,44.36794544,-79.68969951,0,,,0
57,57,Bayfield at Highway 400,,44.39853755,-79.69791869,0,,,0
58,58,Bayfield Mall,,44.40113899,-79.70051743,0,,,0
59,59,Coulter Street,,44.400654,-79.699795,0,,,0
60,60,Kozlov Centre,,44.40425962,-79.70324725,0,,,0
61,61,Bayfield at Cundles,,44.40466177,-79.70328888,0,,,0
62,62,Bayfield at Highway 400,,44.399913,-79.699485,0,,,0
63,63,Rose at Highway 400,,44.39890141,-79.69753967,0,,,0
64,64,Bayfield at Highway 400,Bayfield at Rose,44.39841063,-79.69808739,0,,,0
65,65,Ferris Lane,,44.402915,-79.701782,0,,,0
67,67,Grove Street,,44.39659223,-79.69624255,0,,,0
68,68,Grove Street,,44.39644259,-79.6963538,0,,,0
69,69,Heather Street,,44.407827,-79.706456,0,,,0
70,70,Springwater plaza,,44.40802404,-79.70620755,0,,,0
71,71,Bayfield at Livingstone,,44.41032007,-79.7081283,0,,,0
72,72,Bayfield at Livingstone,,44.410105,-79.708415,0,,,0
73,73,Bayfield at Wellington,,44.394131,-79.69412,0,,,0
74,74,Wellington Street,,44.39395278,-79.6942707,0,,,0
75,75,Bayfield at Sophia,,44.392146,-79.692739,0,,,0
76,76,Georgian Mall,,44.41187453,-79.70857627,0,,,0
77,77,Georgian Mall North Entrance,,44.41304049,-79.70947565,0,,,0
82,82,230 Bayview Drive,,44.358364,-79.682528,0,,,0
83,83,231 Bayview Drive,,44.358461,-79.682381,0,,,0
86,86,330 Bayview Drive,,44.351791,-79.680587,0,,,0
87,87,Bayview at Lansdown,,44.352537,-79.680602,0,,,0
88,88,Bayfield at Dunlop,,44.38949987,-79.69050188,0,,,0
89,89,Bayfield at Chase McEachern,,44.38844893,-79.68934943,0,,,0
90,90,Churchill Drive,,44.34321618,-79.67807608,0,,,0
91,91,Bayview at Churchill,,44.34288369,-79.67825741,0,,,0
92,92,Glenridge Road,,44.36660415,-79.68471616,0,,,0
94,94,Bayview at Little,,44.36268923,-79.68368112,0,,,0
95,95,Bayview at Little,,44.361703,-79.683233,0,,,0
97,97,Bayview at Mapleview,,44.33650795,-79.6785026,0,,,0
99,99,Bayview at Mollard Court,,44.355701,-79.68178,0,,,0
100,100,Bayview at Mollard ,,44.35613,-79.681731,0,,,0
102,102,Springhome Road,,44.366635,-79.684603,0,,,0
104,104,Alliance Boulevard,,44.40949475,-79.67910942,0,,,0
105,105,Alliance Boulevard,,44.40923713,-79.67933789,0,,,0
106,106,Alliance Boulevard,,44.40730445,-79.68482323,0,,,0
107,107,Bell Farm at St Vincent,Bell Farm at Saint Vincent,44.40744029,-79.6849183,0,,,0
108,108,115 Bell Farm,125 Bell Farm,44.4107726,-79.67581077,0,,,0
109,109,130 Bell Farm,,44.41104659,-79.67552046,0,,,0
113,113,Willow Landing School,,44.35374366,-79.6621861,0,,,0
114,114,Brock at Innisfil,,44.37632826,-79.6959002,0,,,0
115,115,Brock at Innisfil,,44.376459,-79.695832,0,,,0
116,116,Huronia Road,,44.35324087,-79.66438248,0,,,0
117,117,Hurst Drive ,Big Bay Point at Hurst Drive,44.36057295,-79.63259126,0,,,0
