stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
20,1001,Kennedy Rd S n/of First Gulf Blvd,,43.673257,-79.718469,,,0,,,1
30,1002,Kennedy Rd s/of Steeles Ave,,43.675159,-79.72171,,,0,,,1
51100,1003,Kennedy - Zum Steeles Station Stop EB,,43.676199,-79.721745,,,0,,,1
60,1006,Rutherford Rd s/of Bramsteele Rd,,43.681968,-79.718981,,,0,,,1
15090804,1007,Williams - Zum Queen West Station Stop SB,,43.658335,-79.818246,,,0,,,1
70,1008,Rutherford Rd S n/of Bramsteele Rd,,43.683807,-79.721458,,,0,,,1
80,1009,Rutherford Rd S at Glidden Rd,,43.686334,-79.725066,,,0,,,1
90,1010,Rutherford Rd S at Selby Rd,,43.689013,-79.72896,,,0,,,1
100,1011,Rutherford Rd S opp Stafford Rd,,43.690237,-79.730618,,,0,,,1
110,1012,Rutherford Rd S at Clarence St,,43.691459,-79.731882,,,0,,,1
120,1013,Orenda Rd e/of Rutherford Rd S,,43.695114,-79.73276,,,0,,,1
130,1014,Orenda Rd btwn Rutherford Rd S & Heart Lake Rd,,43.695702,-79.729801,,,0,,,1
140,1015,Orenda Rd opp Heart Lake Rd,,43.696757,-79.727831,,,0,,,1
150,1016,Orenda Rd opp Tilbury Crt,,43.697323,-79.725029,,,0,,,1
160,1017,Orenda Rd at 237 Orenda Rd,,43.697068,-79.72267,,,0,,,1
170,1018,Orenda Rd at Titan Rd,,43.69808,-79.720259,,,0,,,1
180,1019,West Dr n/of Orenda Rd,,43.699876,-79.718366,,,0,,,1
190,1020,West Dr s/of Clark Blvd ( 55 West Dr ),,43.702724,-79.723127,,,0,,,1
200,1021,Clark Blvd e/of West Dr,,43.704702,-79.726936,,,0,,,1
210,1022,Clark Blvd at 185 Clark Blvd,,43.706436,-79.725026,,,0,,,1
220,1023,Clark Blvd at Terese Rd,,43.70923,-79.724078,,,0,,,1
222,1024,Queen St E btwn Torbram Rd & Gateway Blvd,,43.73617,-79.704012,,,0,,,1
230,1025,Clark Blvd at Braemar Dr,,43.711451,-79.721512,,,0,,,1
270,1028,Clark Blvd at Lisa St,,43.709748,-79.724024,,,0,,,1
280,1029,Clark Blvd opp 185 Clark Blvd,,43.705847,-79.726028,,,0,,,1
290,1030,Clark Blvd at West Dr,,43.704774,-79.727214,,,0,,,1
300,1031,West Dr s/of Clark Blvd,,43.703897,-79.726877,,,0,,,1
310,1032,West Dr at Norpak Whse,,43.701521,-79.721492,,,0,,,1
320,1033,West Dr s/of Orenda Rd,,43.699126,-79.717846,,,0,,,1
330,1034,Glidden Rd w/of West Dr,,43.69483,-79.713756,,,0,,,1
340,1035,Glidden Rd at Blair Dr,,43.693625,-79.715444,,,0,,,1
350,1036,Glidden Rd at Heart Lake Rd,,43.691648,-79.718268,,,0,,,1
360,1037,Glidden Rd w/of Heart Lake Rd,,43.689773,-79.720893,,,0,,,1
370,1038,Glidden Rd at Hale Rd,,43.688501,-79.722687,,,0,,,1
410,1043,Rutherford Rd S at Steeles Ave E,,43.680933,-79.717993,,,0,,,1
420,1044,First Gulf Blvd n/of Biscayne Cres (N),,43.679438,-79.715877,,,0,,,0
430,1045,First Gulf Blvd at Biscayne Cres S,,43.677124,-79.713402,,,0,,,0
440,1046,First Gulf Blvd btwn Biscayne Cres (S) and Kennedy,,43.674483,-79.715878,,,0,,,1
460,1047,N Hereford St s/of Steeles Ave,,43.622217,-79.780921,,,0,,,1
470,1048,Mississauga Road - Zum Steeles Station Stop EB,,43.62782,-79.775184,,,0,,,1
510,1052,Steeles Ave W at Churchville Rd,,43.639747,-79.762015,,,0,,,0
520,1053,Steeles Ave W at Clementine Dr,,43.643685,-79.757659,,,0,,,0
530,1054,Steeles Ave W btwn Mavis Rd & Windmill Blvd,,43.649578,-79.751152,,,0,,,1
540,1055,Mavis - Zum Steeles Station Stop EB,,43.647339,-79.753535,,,0,,,1
550,1056,Steeles Ave W at Windmill Blvd,,43.653268,-79.747021,,,0,,,1
560,1057,E Steeles Ave at McLaughlin Rd,,43.656006,-79.74387,,,0,,,1
