route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
51,260427-MULTI-Weekday-01,25023022,"51 HEREFORD EAST",0,1206545,510036,1,1
9,260427-MULTI-Weekday-01,25023023,"9 VODDEN EAST",0,1206987,90032,1,1
60,260427-MULTI-Weekday-01,25023024,"60 MISSISSAUGA ROAD SOUTH",1,1206632,600010,1,1
30,260427-MULTI-Weekday-01,25023025,"30 AIRPORT ROAD NORTH",0,1206720,300088,1,1
30,260427-MULTI-Weekday-01,25023026,"30 AIRPORT ROAD NORTH",0,1206722,300088,1,1
51,260427-MULTI-Weekday-01,25023027,"51 HEREFORD WEST",1,1206545,510037,1,1
23,260427-MULTI-Weekday-01,25023028,"23 SANDALWOOD EAST",0,1208293,230129,1,1
23,260427-MULTI-Weekday-01,25023029,"23 SANDALWOOD WEST",1,1208295,230127,1,1
60,260427-MULTI-Weekday-01,25023030,"60 MISSISSAUGA ROAD NORTH",0,1206632,600006,1,1
18,260427-MULTI-Weekday-01,25023031,"18 DIXIE NORTH",0,1207105,180234,1,1
18,260427-MULTI-Weekday-01,25023033,"18 DIXIE NORTH",0,1207113,180234,1,1
18,260427-MULTI-Weekday-01,25023034,"18 DIXIE NORTH",0,1207114,180234,1,1
18,260427-MULTI-Weekday-01,25023035,"18 DIXIE NORTH",0,1207115,180234,1,1
18,260427-MULTI-Weekday-01,25023036,"18 DIXIE NORTH",0,1207104,180235,1,1
18,260427-MULTI-Weekday-01,25023037,"18 DIXIE SOUTH",1,1207104,180203,1,1
18,260427-MULTI-Weekday-01,25023038,"18 DIXIE SOUTH",1,1207106,180203,1,1
18,260427-MULTI-Weekday-01,25023039,"18 DIXIE SOUTH",1,1207108,180203,1,1
18,260427-MULTI-Weekday-01,25023040,"18 DIXIE SOUTH",1,1207102,180223,1,1
9,260427-MULTI-Weekday-01,25023047,"9 VODDEN WEST",1,1206987,90034,1,1
8,260427-MULTI-Weekday-01,25023062,"8 CENTRE EAST",0,1206598,80041,1,1
8,260427-MULTI-Weekday-01,25023063,"8 CENTRE WEST",1,1206599,80040,1,1
29,260427-MULTI-Weekday-01,25023065,"29A WILLIAMS EAST",0,1206687,290066,1,1
23,260427-MULTI-Weekday-01,25023066,"23 SANDALWOOD EAST",0,1208294,230129,1,1
29,260427-MULTI-Weekday-01,25023067,"29A WILLIAMS EAST",0,1206686,290066,1,1
29,260427-MULTI-Weekday-01,25023068,"29A WILLIAMS WEST",1,1206686,290065,1,1
30,260427-MULTI-Weekday-01,25023069,"30 AIRPORT ROAD NORTH",0,1206715,300086,1,1
30,260427-MULTI-Weekday-01,25023070,"30 AIRPORT ROAD SOUTH",1,1206728,300089,1,1
30,260427-MULTI-Weekday-01,25023071,"30 AIRPORT ROAD SOUTH",1,1206723,300083,1,1
30,260427-MULTI-Weekday-01,25023072,"30 AIRPORT ROAD SOUTH",1,1206715,300083,1,1
30,260427-MULTI-Weekday-01,25023073,"30 AIRPORT ROAD NORTH",0,1206720,300086,1,1
30,260427-MULTI-Weekday-01,25023074,"30 AIRPORT ROAD NORTH",0,1206726,300086,1,1
51,260427-MULTI-Weekday-01,25023075,"51 HEREFORD WEST",1,1206545,510037,1,1
51,260427-MULTI-Weekday-01,25023076,"51 HEREFORD WEST",1,1206545,510037,1,1
51,260427-MULTI-Weekday-01,25023077,"51 HEREFORD WEST",1,1206545,510037,1,1
51,260427-MULTI-Weekday-01,25023078,"51 HEREFORD WEST",1,1206545,510037,1,1
51,260427-MULTI-Weekday-01,25023079,"51 HEREFORD WEST",1,1206545,510037,1,1
51,260427-MULTI-Weekday-01,25023080,"51 HEREFORD WEST",1,1206545,510037,1,1
51,260427-MULTI-Weekday-01,25023081,"51 HEREFORD WEST",1,1206545,510037,1,1
51,260427-MULTI-Weekday-01,25023082,"51 HEREFORD WEST",1,1206545,510037,1,1
51,260427-MULTI-Weekday-01,25023083,"51 HEREFORD EAST",0,1206545,510036,1,1
51,260427-MULTI-Weekday-01,25023084,"51 HEREFORD EAST",0,1206545,510036,1,1
51,260427-MULTI-Weekday-01,25023085,"51 HEREFORD EAST",0,1206545,510036,1,1
51,260427-MULTI-Weekday-01,25023086,"51 HEREFORD EAST",0,1206545,510036,1,1
51,260427-MULTI-Weekday-01,25023087,"51 HEREFORD EAST",0,1206545,510036,1,1
51,260427-MULTI-Weekday-01,25023088,"51 HEREFORD EAST",0,1206545,510036,1,1
51,260427-MULTI-Weekday-01,25023089,"51 HEREFORD EAST",0,1206736,510036,1,1
51,260427-MULTI-Weekday-01,25023090,"51 HEREFORD EAST",0,1206545,510036,1,1
51,260427-MULTI-Weekday-01,25023091,"51 HEREFORD EAST",0,1206545,510036,1,1
14,260427-MULTI-Weekday-01,25023092,"14 TORBRAM SOUTH",1,1207157,140084,1,1
14,260427-MULTI-Weekday-01,25023093,"14 TORBRAM NORTH",0,1207157,140077,1,1
14,260427-MULTI-Weekday-01,25023094,"14A TORBRAM NORTH",0,1207157,140081,1,1
14,260427-MULTI-Weekday-01,25023095,"14 TORBRAM SOUTH",1,1207160,140084,1,1
14,260427-MULTI-Weekday-01,25023096,"14 TORBRAM NORTH",0,1207161,140077,1,1
14,260427-MULTI-Weekday-01,25023097,"14 TORBRAM SOUTH",1,1207161,140084,1,1
14,260427-MULTI-Weekday-01,25023098,"14 TORBRAM NORTH",0,1207165,140077,1,1
14,260427-MULTI-Weekday-01,25023099,"14A TORBRAM NORTH",0,1207160,140072,1,1
17,260427-MULTI-Weekday-01,25023100,"17 HOWDEN NORTH",0,1206996,170024,1,1
17,260427-MULTI-Weekday-01,25023101,"17 HOWDEN NORTH",0,1206996,170024,1,1
17,260427-MULTI-Weekday-01,25023102,"17 HOWDEN NORTH",0,1206997,170024,1,1
17,260427-MULTI-Weekday-01,25023103,"17 HOWDEN NORTH",0,1206996,170024,1,1
17,260427-MULTI-Weekday-01,25023104,"17 HOWDEN NORTH",0,1206997,170024,1,1
17,260427-MULTI-Weekday-01,25023105,"17 HOWDEN NORTH",0,1206996,170024,1,1
17,260427-MULTI-Weekday-01,25023106,"17 HOWDEN NORTH",0,1206997,170024,1,1
17,260427-MULTI-Weekday-01,25023107,"17 HOWDEN NORTH",0,1206998,170024,1,1
17,260427-MULTI-Weekday-01,25023108,"17 HOWDEN NORTH",0,1206996,170024,1,1
17,260427-MULTI-Weekday-01,25023109,"17 HOWDEN NORTH",0,1206998,170024,1,1
17,260427-MULTI-Weekday-01,25023110,"17 HOWDEN NORTH",0,1206997,170024,1,1
17,260427-MULTI-Weekday-01,25023111,"17 HOWDEN NORTH",0,1206996,170024,1,1
17,260427-MULTI-Weekday-01,25023112,"17 HOWDEN NORTH",0,1206997,170024,1,1
17,260427-MULTI-Weekday-01,25023113,"17 HOWDEN NORTH",0,1206998,170024,1,1
17,260427-MULTI-Weekday-01,25023114,"17 HOWDEN NORTH",0,1206998,170024,1,1
17,260427-MULTI-Weekday-01,25023115,"17 HOWDEN NORTH",0,1206997,170024,1,1
17,260427-MULTI-Weekday-01,25023116,"17 HOWDEN NORTH",0,1206997,170024,1,1
17,260427-MULTI-Weekday-01,25023117,"17 HOWDEN SOUTH",1,1206997,170023,1,1
17,260427-MULTI-Weekday-01,25023118,"17 HOWDEN SOUTH",1,1206996,170023,1,1
17,260427-MULTI-Weekday-01,25023119,"17 HOWDEN SOUTH",1,1206996,170023,1,1
17,260427-MULTI-Weekday-01,25023120,"17 HOWDEN NORTH",0,1206997,170024,1,1
17,260427-MULTI-Weekday-01,25023121,"17 HOWDEN NORTH",0,1206997,170024,1,1
17,260427-MULTI-Weekday-01,25023122,"17 HOWDEN SOUTH",1,1206997,170023,1,1
17,260427-MULTI-Weekday-01,25023123,"17 HOWDEN SOUTH",1,1206996,170023,1,1
17,260427-MULTI-Weekday-01,25023124,"17 HOWDEN SOUTH",1,1206997,170023,1,1
17,260427-MULTI-Weekday-01,25023125,"17 HOWDEN SOUTH",1,1206997,170023,1,1
17,260427-MULTI-Weekday-01,25023126,"17 HOWDEN SOUTH",1,1206997,170023,1,1
17,260427-MULTI-Weekday-01,25023127,"17 HOWDEN SOUTH",1,1206996,170023,1,1
17,260427-MULTI-Weekday-01,25023128,"17 HOWDEN SOUTH",1,1206996,170023,1,1
17,260427-MULTI-Weekday-01,25023129,"17 HOWDEN SOUTH",1,1206997,170023,1,1
17,260427-MULTI-Weekday-01,25023130,"17 HOWDEN SOUTH",1,1206996,170023,1,1
17,260427-MULTI-Weekday-01,25023131,"17 HOWDEN SOUTH",1,1206997,170023,1,1
17,260427-MULTI-Weekday-01,25023132,"17 HOWDEN SOUTH",1,1206998,170023,1,1
17,260427-MULTI-Weekday-01,25023133,"17 HOWDEN SOUTH",1,1206997,170023,1,1
17,260427-MULTI-Weekday-01,25023134,"17 HOWDEN SOUTH",1,1206998,170023,1,1
17,260427-MULTI-Weekday-01,25023135,"17 HOWDEN SOUTH",1,1206998,170023,1,1
17,260427-MULTI-Weekday-01,25023136,"17 HOWDEN SOUTH",1,1206998,170023,1,1
17,260427-MULTI-Weekday-01,25023137,"17 HOWDEN SOUTH",1,1206997,170023,1,1
29,260427-MULTI-Weekday-01,25023138,"29 WILLIAMS WEST",1,1206692,290058,1,1
29,260427-MULTI-Weekday-01,25023139,"29 WILLIAMS EAST",0,1206686,290067,1,1
29,260427-MULTI-Weekday-01,25023140,"29 WILLIAMS WEST",1,1206695,290058,1,1
51,260427-MULTI-Weekday-01,25023141,"51 HEREFORD EAST",0,1206736,510036,1,1
51,260427-MULTI-Weekday-01,25023142,"51 HEREFORD WEST",1,1206736,510037,1,1
