shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10041,43.256640,-79.868919,10001,0.000
10041,43.256651,-79.868952,10002,0.003
10041,43.256684,-79.869050,10003,0.012
10041,43.256730,-79.869212,10004,0.026
10041,43.257070,-79.870412,10005,0.130
10041,43.257103,-79.870527,10006,0.140
10041,43.257136,-79.870638,10007,0.150
10041,43.257136,-79.870638,10008,0.150
10041,43.257235,-79.870991,10009,0.181
10041,43.257235,-79.870991,10010,0.181
10041,43.257503,-79.871945,10011,0.264
10041,43.257503,-79.871945,10012,0.264
10041,43.257653,-79.872501,10013,0.312
10041,43.257653,-79.872501,10014,0.312
10041,43.257803,-79.873055,10015,0.360
10041,43.257803,-79.873055,10016,0.360
10041,43.257844,-79.873209,10017,0.373
10041,43.257961,-79.873639,10018,0.410
10041,43.257968,-79.873667,10019,0.413
10041,43.257968,-79.873667,20001,0.413
10041,43.257989,-79.873744,20002,0.419
10041,43.258063,-79.873716,20003,0.428
10041,43.258450,-79.873563,20004,0.473
10041,43.258450,-79.873563,20005,0.473
10041,43.258551,-79.873523,20006,0.484
10041,43.258551,-79.873523,20007,0.484
10041,43.258734,-79.873450,20008,0.506
10041,43.258734,-79.873450,20009,0.506
10041,43.258867,-79.873398,20010,0.521
10041,43.259630,-79.873097,20011,0.609
10041,43.259702,-79.873068,20012,0.617
10041,43.259702,-79.873068,20013,0.617
10041,43.259827,-79.873019,20014,0.632
10041,43.259827,-79.873019,20015,0.632
10041,43.260015,-79.872943,20016,0.654
10041,43.260121,-79.872907,20017,0.666
10041,43.260382,-79.872797,20018,0.696
10041,43.260382,-79.872797,20019,0.696
10041,43.260498,-79.872751,20020,0.709
10041,43.260594,-79.872712,20021,0.721
10041,43.260594,-79.872712,20022,0.721
10041,43.260594,-79.872712,30001,0.721
10041,43.260927,-79.872578,30002,0.759
10041,43.260927,-79.872578,30003,0.759
10041,43.261327,-79.872405,30004,0.806
10041,43.261327,-79.872405,30005,0.806
10041,43.261481,-79.872338,30006,0.824
10041,43.261862,-79.872164,30007,0.868
10041,43.262020,-79.872842,30008,0.926
10041,43.262020,-79.872842,30009,0.926
10041,43.262109,-79.873225,30010,0.959
10041,43.262294,-79.874054,30011,1.029
10041,43.262496,-79.874877,30012,1.100
10041,43.262541,-79.875076,30013,1.117
10041,43.262566,-79.875240,30014,1.130
10041,43.262609,-79.875695,30015,1.167
10041,43.262641,-79.875973,30016,1.190
10041,43.262641,-79.875973,30017,1.190
10041,43.262709,-79.876491,30018,1.233
10041,43.262739,-79.876636,30019,1.245
10041,43.262764,-79.876728,30020,1.253
10041,43.262856,-79.876984,30021,1.276
10041,43.262966,-79.877239,30022,1.300
10041,43.263109,-79.877475,30023,1.325
10041,43.263109,-79.877475,40001,1.325
10041,43.263293,-79.877778,40002,1.357
10041,43.263639,-79.878346,40003,1.417
10041,43.263639,-79.878346,40004,1.417
10041,43.264067,-79.879074,40005,1.493
10041,43.264067,-79.879074,40006,1.493
10041,43.264567,-79.879880,40007,1.579
10041,43.264567,-79.879880,40008,1.579
10041,43.265057,-79.880634,40009,1.661
10041,43.265057,-79.880634,40010,1.661
10041,43.265127,-79.880745,40011,1.673
10041,43.265474,-79.881294,40012,1.732
10041,43.265553,-79.881430,40013,1.746
10041,43.265638,-79.881555,40014,1.760
10041,43.265761,-79.881748,40015,1.780
10041,43.265761,-79.881748,50001,1.780
10041,43.266101,-79.882288,50002,1.838
10041,43.266101,-79.882288,50003,1.838
10041,43.266644,-79.883113,50004,1.928
10041,43.266785,-79.883326,50005,1.952
10041,43.267119,-79.883875,50006,2.010
10041,43.267485,-79.884474,50007,2.073
10041,43.267737,-79.884862,50008,2.115
10041,43.267906,-79.885071,50009,2.140
10041,43.267923,-79.885091,50010,2.143
10041,43.267933,-79.885103,50011,2.144
10041,43.267933,-79.885103,60001,2.144
10041,43.267989,-79.885168,60002,2.152
10041,43.268251,-79.885380,60003,2.186
10041,43.268466,-79.885509,60004,2.212
10041,43.268662,-79.885580,60005,2.235
10041,43.269057,-79.885752,60006,2.281
10041,43.269234,-79.885867,60007,2.303
10041,43.269695,-79.886048,60008,2.356
10041,43.270077,-79.886194,60009,2.400
10041,43.270714,-79.886428,60010,2.473
10041,43.271040,-79.886539,60011,2.510
10041,43.271040,-79.886539,60012,2.510
10041,43.271241,-79.886591,60013,2.533
10041,43.271607,-79.886671,60014,2.574
10041,43.271923,-79.886747,60015,2.610
10041,43.272074,-79.886790,60016,2.627
10041,43.272208,-79.886842,60017,2.642
10041,43.272357,-79.886918,60018,2.660
10041,43.272788,-79.887163,60019,2.712
10041,43.273662,-79.887651,60020,2.817
10041,43.274354,-79.888046,60021,2.900
10041,43.274839,-79.888361,60022,2.960
10041,43.274839,-79.888361,60023,2.960
10041,43.275225,-79.888633,60024,3.008
10041,43.276255,-79.889361,60025,3.137
10041,43.276771,-79.889720,60026,3.201
10041,43.276771,-79.889720,60027,3.201
10041,43.277208,-79.889993,60028,3.254
10041,43.277208,-79.889993,60029,3.254
10041,43.277499,-79.890153,60030,3.289
10041,43.277985,-79.890384,60031,3.346
10041,43.278524,-79.890599,60032,3.409
10041,43.278890,-79.890719,60033,3.450
10041,43.279111,-79.890790,60034,3.476
10041,43.280069,-79.891117,60035,3.585
10041,43.280328,-79.891155,60036,3.614
10041,43.280601,-79.891262,60037,3.646
10041,43.281044,-79.891389,60038,3.696
10041,43.281397,-79.891492,60039,3.736
10041,43.282296,-79.891749,60040,3.838
10041,43.282605,-79.891832,60041,3.873
10041,43.284256,-79.892295,60042,4.060
10041,43.285009,-79.892489,60043,4.145
10041,43.285093,-79.892506,60044,4.155
10041,43.285093,-79.892506,70001,4.155
