stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,1,"Maple at Thorpe",,  43.327229, -79.819046,,,0,,1
100,100,"Fairview at Drury",,  43.342906, -79.803296,,,0,,1
1000,1000,"5255 Lakeshore",,  43.365632, -79.735785,,,0,,1
1001,1001,"Lakeshore at White Pines",,  43.364056, -79.739129,,,0,,1
1002,1002,"Lakeshore at Pineland",,  43.362539, -79.741458,,,0,,1
1003,1003,"Lakeshore at Kenwood",,  43.366894, -79.732332,,,0,,1
1004,1004,"5255 Lakeshore",,  43.365333, -79.736101,,,0,,1
1005,1005,"Lakeshore at White Pines",,  43.364401, -79.738142,,,0,,1
1006,1006,"Lakeshore at Colonial",,  43.362493, -79.741174,,,0,,1
1008,1008,"Appleby at Spruce",,  43.363128, -79.748318,,,0,,1
1011,1011,"Cumberland at Prospect",,  43.352160, -79.786505,,,0,,1
1012,1012,"Fairview at Burlington GO",,  43.339287, -79.809072,,,0,,1
1013,1013,"Fairview at Burlington GO",,  43.339112, -79.808825,,,0,,1
1014,1014,"Cumberland at Fairview",,  43.352862, -79.787115,,,0,,1
1015,1015,"4330 Mainway",,  43.381495, -79.786987,,,0,,1
1016,1016,"Sutton at John Lucas",,  43.393232, -79.768881,,,0,,1
1017,1017,"Sutton at Clay",,  43.389611, -79.766727,,,0,,1
1018,1018,"Mainway at John Lucas",,  43.393582, -79.774189,,,0,,1
1019,1019,"5500 North Service",,  43.395826, -79.761681,,,0,,1
102,102,"1220 Brant",,  43.343498, -79.824912,,,0,,1
1020,1020,"5515 North Service",,  43.395474, -79.761436,,,0,,1
1021,1021,"Mainway at John Lucas",,  43.394170, -79.773815,,,0,,1
1022,1022,"1375 Kerns",,  43.340341, -79.836740,,,0,,1
1023,1023,"Kerns at Village Green",,  43.343933, -79.842035,,,0,,1
1024,1024,"Tyandaga Park at Fairway",,  43.347290, -79.838870,,,0,,1
103,103,"New at Dynes",,  43.343130, -79.779925,,,0,,1
1030,1030,"2025 Upper Middle",,  43.365951, -79.820585,,,0,,1
1035,1035,"Lakeshore at Pearl",,  43.326067, -79.793033,,,0,,1
1037,1037,"Sutton at Upper Middle",,  43.403128, -79.782674,,,0,,1
104,104,"New at Dynes",,  43.343202, -79.780145,,,0,,1
1041,1041,"649 North Service",,  43.330913, -79.841241,,,0,,1
1042,1042,"North Service at King",,  43.329503, -79.842527,,,0,,1
1043,1043,"North Service at Yorkton",,  43.324362, -79.848058,,,0,,1
1044,1044,"201 North Service",,  43.316874, -79.855838,,,0,,1
1045,1045,"North Service at Kerns",,  43.338433, -79.832705,,,0,,1
1046,1046,"North Service at Huntly",,  43.336410, -79.834715,,,0,,1
1047,1047,"201 North Service",,  43.316963, -79.855589,,,0,,1
1048,1048,"North Service at Yorkton",,  43.324317, -79.847934,,,0,,1
