route_long_name,route_id,route_short_name,route_desc,route_color,route_url,route_text_color,route_type,agency_id
Route 101,101,101,,006633,,ffffff,3,drt
Route 112,112,112,,006633,,ffffff,3,drt
Route 118,118,118,,006633,,ffffff,3,drt
Route 121,121,121,,006633,,ffffff,3,drt
Route 211,211,211,,006633,,ffffff,3,drt
Route 216,216,216,,006633,,ffffff,3,drt
Route 224,224,224,,006633,,ffffff,3,drt
Route 227,227,227,,006633,,ffffff,3,drt
Route 301,301,301,,006633,,ffffff,3,drt
Route 302,302,302,,006633,,ffffff,3,drt
Route 306,306,306,,006633,,ffffff,3,drt
Route 315,315,315,,006633,,ffffff,3,drt
Route 319,319,319,,006633,,ffffff,3,drt
Route 392,392,392,,006633,,ffffff,3,drt
Route 403,403,403,,006633,,ffffff,3,drt
Route 405,405,405,,006633,,ffffff,3,drt
Route 407,407,407,,006633,,ffffff,3,drt
Route 409,409,409,,006633,,ffffff,3,drt
Route 410,410,410,,006633,,ffffff,3,drt
Route 419,419,419,,006633,,ffffff,3,drt
Route 421,421,421,,006633,,ffffff,3,drt
Route 423,423,423,,006633,,ffffff,3,drt
Route 502,502,502,,006633,,ffffff,3,drt
Route 505,505,505,,006633,,ffffff,3,drt
Route 507,507,507,,006633,,ffffff,3,drt
Route 605,605,605,,006633,,ffffff,3,drt
Route 618,618,618,,006633,,ffffff,3,drt
PULSE 900,900,900,,cc6600,,000000,3,drt
PULSE 901,901,901,,cc6600,,000000,3,drt
Route 902,902,902,,006633,,ffffff,3,drt
Route 905,905,905,,006633,,ffffff,3,drt
PULSE 915,915,915,,cc6600,,000000,3,drt
PULSE 916,916,916,,cc6600,,000000,3,drt
Route 917,917,917,,006633,,ffffff,3,drt
Route 920,920,920,,006633,,ffffff,3,drt
Route 921,921,921,,006633,,ffffff,3,drt
Route N1,N1,N1,,0000ff,,ffffff,3,drt
Route N2,N2,N2,,0000ff,,ffffff,3,drt
Route 100,100,100,,006633,,ffffff,3,drt
