stop_lon,stop_timezone,stop_name,stop_id,parent_station,wheelchair_boarding,zone_id,stop_code,location_type,stop_url,preferred,stop_lat,stop_desc
-78.94155897953233,,Garden Northbound @ Bassett (South stop),10,,1,,10,0,,2,43.90333273838791,
-78.961715,,McQuay Northbound @ Dundas,100,,1,,100,0,,2,43.87593224,
-78.855412,,Glen Northbound @ Medina,1000,,1,,1000,0,,2,43.87268331,
-78.856489,,Northbound @ 825 Glen,1001,,1,,1001,0,,2,43.87529628,
-78.858799,,Malaga Westbound @ Oxford,1002,,1,,1002,0,,2,43.875507,
-78.862502,,Malaga Westbound @ Park,1003,,1,,1003,0,,1,43.874698,
-78.96314599999998,,McQuay Northbound @ Moonstone,101,,1,,101,0,,2,43.878431,
-78.863301,,Malaga Eastbound @ Park,1014,,1,,1014,0,,2,43.87443,
-78.86054799999998,,Malaga Eastbound @ Oxford (West side stop),1015,,1,,1015,0,,2,43.875032,
-78.857982,,Malaga Eastbound @ Oxford (East side stop),1016,,1,,1016,0,,2,43.875586,
-78.85656,,Southbound @ 830 Glen,1017,,1,,1017,0,,2,43.87507063000001,
-78.855636,,Glen Southbound @ Medina,1018,,1,,1018,0,,2,43.87281378,
-78.854967,,Glen Southbound @ Porter,1019,,1,,1019,0,,2,43.871258,
-78.965224,,McQuay Northbound @ Kennett,102,,1,,102,0,,2,43.879593,
-78.84718,,Wentworth Eastbound @ Ravine,1020,,1,,1020,0,,2,43.87253,
-78.841181,,Simcoe Southbound @ Ritson,1023,,1,,1023,0,,2,43.872059,
-78.8386,,Simcoe Southbound @ Wellington,1024,,1,,1024,0,,2,43.870666,
-78.835431,,Simcoe Southbound @ Kawartha,1025,,1,,1025,0,,2,43.86897900000001,
-78.82959099999998,,Westbound @ 60 Lakeview Park,1027,,1,,1027,0,,2,43.863287,
-78.836721,,Lakeview Park Westbound @ Ritson,1029,,1,,1029,0,,2,43.861379,
-78.966408,,McQuay Northbound @ Balsdon,103,,1,,103,0,,2,43.881326,
-78.83846,,Valley Westbound @ Ritson,1030,,1,,1030,0,,2,43.86425,
-78.84441,,Phillip Murray Southbound @ Scugog,1032,,1,,1032,0,,2,43.86300700000001,
-78.84781779532226,,Cedar Northbound @ Phillip Murray,1033,,1,,1033,0,,2,43.86144322995122,
-78.9673866,,McQuay Northbound @ Bonacord,104,,1,,104,0,,2,43.8836627,
-78.899322,,Eastbound @ 1733 Victoria,1052,,1,,1052,0,,1,43.867405,
-78.8787787,,Eastbound @ 555 Bloor,1053,,1,,1053,0,,2,43.8748675,
-78.864296,,Eastbound @ 249 Bloor,1055,,1,,1055,0,,2,43.878406,
-78.860118,,Bloor Eastbound @ Oxford,1056,,1,,1056,0,,2,43.879381,
-78.856285,,Bloor Eastbound @ Simcoe,1057,,1,,1057,0,,2,43.880241,
-78.853414,,Bloor Eastbound @ Albert,1058,,1,,1058,0,,2,43.880885,
-78.8499396,,Bloor Eastbound @ Merritt,1059,,1,,1059,0,,2,43.8816337,
-78.969264,,McQuay Northbound @ Renfield,106,,1,,106,0,,2,43.888336,
-78.819826,,Eastbound @ 887 Bloor,1066,,1,,1066,0,,2,43.888433,
-78.813063,,Grandview Southbound @ Bloor (South side stop),1067,,1,,1067,0,,2,43.889648,
-78.810582,,Grandview Southbound @ Downview,1068,,1,,1068,0,,2,43.88767,
-78.8095866,,Grandview Southbound @ Norman,1069,,1,,1069,0,,2,43.88659650000001,
-78.97109399999998,,McQuay Northbound @ Jacob,107,,1,,107,0,,2,43.89000200000001,
-78.806985,,Grandview Eastbound @ Southdown,1070,,1,,1070,0,,2,43.886499,
-78.80497908,,Townline Northbound @ Grandview,1071,,1,,1071,0,,2,43.88752003,
-78.97463999999998,,McQuay Westbound @ Muir,108,,1,,108,0,,2,43.889791,
-78.820015,,Westbound @ 882 Bloor,1080,,1,,1080,0,,2,43.888469,
-78.85046,,Bloor Westbound @ Merritt,1088,,1,,1088,0,,2,43.881681,
-78.855267,,Bloor Westbound @ Simcoe,1089,,1,,1089,0,,2,43.880638,
-78.86027799999998,,Bloor Westbound @ Oxford,1090,,1,,1090,0,,2,43.8794327,
-78.864334,,Bloor Westbound @ Park,1091,,1,,1091,0,,2,43.878553,
-78.845479,,Simcoe Northbound @ Wentworth,1096,,1,,1096,0,,2,43.874477,
-78.848778,,Simcoe Northbound @ Wolfe,1097,,1,,1097,0,,2,43.876246,
-78.939531,,Garden Northbound @ Rossland (Durham Region Headquarters),11,,1,,11,0,,2,43.898916,
-78.965943,,Country Lane Northbound @ Rossland,110,,1,,110,0,,2,43.894933,
-78.807633,,Eastbound @ 1189 Colonel Sam,1101,,1,,1101,0,,2,43.878222,
-78.83069399999998,,Farewell Southbound @ Bloor,1118,,1,,1118,0,,2,43.884732,
-78.829233,,Farewell Southbound @ Raleigh,1119,,1,,1119,0,,1,43.881319,
-78.8286811,,Farewell Southbound @ Wentworth,1120,,1,,1120,0,,2,43.8799536,
-78.869767,,Park Northbound @ Quebec,1132,,1,,1132,0,,2,43.887357,
-78.81421,,King Westbound @ Townline,1133,,1,,1133,0,,1,43.90656,
-78.81885294411558,,King Westbound @ Athabasca,1134,,1,,1134,0,,2,43.90616199565833,
-78.821771,,King Westbound @ Kingsway College,1135,,1,,1135,0,,2,43.905816,
-78.827635,,King Westbound @ Keewatin,1136,,1,,1136,0,,2,43.90592800000001,
-78.834293,,Harmony Northbound @ King,1138,,1,,1138,0,,1,43.905084,
-78.835475,,Harmony Northbound @ Regent,1139,,1,,1139,0,,2,43.907681,
-78.966829,,Country Lane Northbound @ Wetherburn,114,,1,,114,0,,2,43.896118,
-78.836021,,Harmony Northbound @ Eastbourne,1140,,1,,1140,0,,2,43.908962,
-78.837306,,Harmony Northbound @ Adelaide,1141,,1,,1141,0,,1,43.91195900000001,
-78.839598,,Northbound @ 443 Harmony,1142,,1,,1142,0,,2,43.917231,
-78.84678599999998,,Harmony Northbound @ Swiss,1143,,1,,1143,0,,2,43.933475,
-78.847728,,Harmony Northbound @ Grand Ridge,1144,,1,,1144,0,,2,43.935668,
-78.83798,,Harmony Southbound @ Adelaide,1145,,1,,1145,0,,1,43.91292,
-78.836235,,Harmony Southbound @ Eastbourne,1146,,1,,1146,0,,2,43.90900100000001,
-78.835614,,Harmony Southbound @ Regent,1147,,1,,1147,0,,2,43.907603,
-78.83438599999998,,Harmony Southbound @ King,1148,,1,,1148,0,,1,43.904711,
-78.833634,,Harmony Southbound @ Palace,1149,,1,,1149,0,,2,43.90330500000001,
-78.969667,,Country Lane Northbound @ Gartshore,115,,1,,115,0,,2,43.898544,
-78.83266999999998,,Harmony Southbound @ Hoskin,1150,,1,,1150,0,,2,43.901176,
-78.831854,,Southbound @ 188 Harmony,1151,,1,,1151,0,,2,43.899357,
-78.830782,,Harmony Southbound @ Florell,1152,,1,,1152,0,,2,43.896955,
-78.830938,,Harmony Northbound @ Old Harmony,1153,,1,,1153,0,,2,43.89775,
-78.831838,,Harmony Northbound @ Hoskin,1154,,1,,1154,0,,2,43.899752,
-78.833706,,Harmony Northbound @ Palace,1155,,1,,1155,0,,2,43.90378813,
-78.835009,,King Westbound @ Harmony,1156,,1,,1156,0,,1,43.90424800000001,
-78.837534,,Bond Northbound @ Riverside,1157,,1,,1157,0,,2,43.90426723,
-78.844005,,Bond Westbound @ Claymore (West side stop),1159,,1,,1159,0,,1,43.904135,
-78.970374,,Country Lane Northbound @ Randolph,116,,1,,116,0,,2,43.900852,
-78.84988199999998,,Bond Westbound @ Patricia,1161,,1,,1161,0,,2,43.902664,
-78.855176,,Bond Westbound @ Ritson,1163,,1,,1163,0,,1,43.900548,
-78.86069,,Bond Westbound @ Mary,1164,,1,,1164,0,,2,43.899252,
-78.8638232,,Bond Westbound @ Simcoe,1165,,1,,1165,0,,1,43.89857640000001,
-78.86599339999998,,Bond Westbound @ Centre,1166,,1,,1166,0,,1,43.8980427,
-78.8700233,,Bond Westbound @ Arena,1167,,1,,1167,0,,2,43.8971812,
-78.87463099999998,,Bond Westbound @ Park,1169,,1,,1169,0,,1,43.896215,
-78.9716001,,Country Lane Northbound @ Twin Streams,117,,1,,117,0,,2,43.9031059,
-78.878156,,Bond Westbound @ Gibbons,1171,,1,,1171,0,,2,43.895268,
-78.884232,,Bond Westbound @ Stevenson,1172,,1,,1172,0,,1,43.89388328,
-78.888154,,King Westbound @ Waverly,1173,,1,,1173,0,,2,43.892156,
-78.894721,,King Westbound @ Thornton,1174,,1,,1174,0,,1,43.89066900000001,
-78.8920772,,King Eastbound @ Thornton,1175,,1,,1175,0,,1,43.8910876,
-78.88811099999998,,King Eastbound @ Waverly,1176,,1,,1176,0,,2,43.891958,
-78.88199,,King Eastbound @ Stevenson,1177,,1,,1177,0,,1,43.89334800000001,
-78.8787275,,King Eastbound @ Gibbons,1178,,1,,1178,0,,2,43.89406180000001,
-78.973335,,Country Lane Northbound @ Medland,118,,1,,118,0,,2,43.907044,
