direction_name,shape_id,route_id,wheelchair_accessible,service_id,block_id,trip_headsign,trip_id,direction_id
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201038_Timetable_-_2026-06,Taunton,1000__201038_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201094_Timetable_-_2026-06,Taunton,1001__201094_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201065_Timetable_-_2026-06,Taunton,1002__201065_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201040_Timetable_-_2026-06,Taunton,1003__201040_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201065_Timetable_-_2026-06,Taunton,1004__201065_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201040_Timetable_-_2026-06,Taunton,1005__201040_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201065_Timetable_-_2026-06,Taunton,1006__201065_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201066_Timetable_-_2026-06,C - Audley,1007__201066_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201020_Timetable_-_2026-06,C - Audley,1008__201020_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201060_Timetable_-_2026-06,C - Audley,1009__201060_Timetable_-_2026-06,0
Northbound,100.0.1046829421_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_401005_Timetable_-_2026-06,Delpark Homes Centre,100__401005_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201104_Timetable_-_2026-06,C - Audley,1010__201104_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201037_Timetable_-_2026-06,C - Audley,1011__201037_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201047_Timetable_-_2026-06,C - Audley,1012__201047_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201020_Timetable_-_2026-06,C - Audley,1013__201020_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201076_Timetable_-_2026-06,C - Audley,1014__201076_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201038_Timetable_-_2026-06,C - Audley,1015__201038_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201040_Timetable_-_2026-06,C - Audley,1016__201040_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201065_Timetable_-_2026-06,C - Audley,1017__201065_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201020_Timetable_-_2026-06,C - Audley,1018__201020_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201094_Timetable_-_2026-06,C - Audley,1019__201094_Timetable_-_2026-06,0
Southbound,100.0.1046829422_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_403023_Timetable_-_2026-06,Oshawa Centre Terminal,101__403023_Timetable_-_2026-06,1
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201038_Timetable_-_2026-06,C - Audley,1020__201038_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201040_Timetable_-_2026-06,C - Audley,1021__201040_Timetable_-_2026-06,0
Northbound,100.0.2242007235_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201065_Timetable_-_2026-06,C - Audley,1022__201065_Timetable_-_2026-06,0
Southbound,100.0.1952647072_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201104_Timetable_-_2026-06,Ajax Station,1023__201104_Timetable_-_2026-06,1
Southbound,100.0.1952647072_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201089_Timetable_-_2026-06,Ajax Station,1024__201089_Timetable_-_2026-06,1
