fare_id,price,currency_type,payment_method,transfers,agency_id
111-111,4.40,CAD,1,,GO
98-111,11.40,CAD,1,,GO
111-98,11.40,CAD,1,,GO
97-111,14.60,CAD,1,,GO
111-97,14.60,CAD,1,,GO
96-111,13.80,CAD,1,,GO
111-96,13.80,CAD,1,,GO
95-111,13.10,CAD,1,,GO
111-95,13.10,CAD,1,,GO
94-111,12.75,CAD,1,,GO
111-94,12.75,CAD,1,,GO
93-111,11.90,CAD,1,,GO
111-93,11.90,CAD,1,,GO
92-111,10.75,CAD,1,,GO
111-92,10.75,CAD,1,,GO
91-111,9.90,CAD,1,,GO
111-91,9.90,CAD,1,,GO
90-111,11.75,CAD,1,,GO
111-90,11.75,CAD,1,,GO
89-111,11.75,CAD,1,,GO
111-89,11.75,CAD,1,,GO
88-111,13.30,CAD,1,,GO
111-88,13.30,CAD,1,,GO
86-111,13.00,CAD,1,,GO
111-86,13.00,CAD,1,,GO
85-111,18.00,CAD,1,,GO
111-85,18.00,CAD,1,,GO
84-111,21.15,CAD,1,,GO
111-84,21.15,CAD,1,,GO
83-111,19.00,CAD,1,,GO
111-83,19.00,CAD,1,,GO
82-111,16.55,CAD,1,,GO
111-82,16.55,CAD,1,,GO
81-111,15.75,CAD,1,,GO
111-81,15.75,CAD,1,,GO
80-111,13.60,CAD,1,,GO
111-80,13.60,CAD,1,,GO
79-111,6.15,CAD,1,,GO
111-79,6.15,CAD,1,,GO
78-111,9.35,CAD,1,,GO
111-78,9.35,CAD,1,,GO
77-111,6.50,CAD,1,,GO
111-77,6.50,CAD,1,,GO
76-111,13.75,CAD,1,,GO
111-76,13.75,CAD,1,,GO
75-111,13.00,CAD,1,,GO
111-75,13.00,CAD,1,,GO
74-111,12.00,CAD,1,,GO
111-74,12.00,CAD,1,,GO
73-111,10.60,CAD,1,,GO
111-73,10.60,CAD,1,,GO
72-111,10.25,CAD,1,,GO
111-72,10.25,CAD,1,,GO
71-111,10.00,CAD,1,,GO
111-71,10.00,CAD,1,,GO
70-111,9.70,CAD,1,,GO
111-70,9.70,CAD,1,,GO
69-111,15.80,CAD,1,,GO
