shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10013,43.421750,-80.441668,10001
10013,43.422226,-80.441816,10002
10013,43.422423,-80.440659,10003
10013,43.422528,-80.440072,10004
10013,43.422381,-80.440001,10005
10013,43.421883,-80.439499,10006
10013,43.421657,-80.439366,10007
10013,43.421691,-80.439170,10008
10013,43.421786,-80.438817,10009
10013,43.421886,-80.438536,10010
10013,43.421979,-80.438321,10011
10013,43.422055,-80.438167,10012
10013,43.422091,-80.438079,10013
10013,43.422565,-80.437257,10014
10013,43.422699,-80.437025,10015
10013,43.423393,-80.435799,10016
10013,43.423460,-80.435676,10017
10013,43.423836,-80.435079,10018
10013,43.424124,-80.434684,10019
10013,43.424124,-80.434684,20001
10013,43.424274,-80.434479,20002
10013,43.424407,-80.434337,20003
10013,43.424511,-80.434246,20004
10013,43.425069,-80.433792,20005
10013,43.425322,-80.433616,20006
10013,43.425938,-80.433276,20007
10013,43.426139,-80.433184,20008
10013,43.426405,-80.433096,20009
10013,43.426690,-80.433021,20010
10013,43.427202,-80.432911,20011
10013,43.427680,-80.432683,20012
10013,43.428485,-80.432195,20013
10013,43.428679,-80.432052,20014
10013,43.428901,-80.431972,20015
10013,43.428901,-80.431972,30001
10013,43.429001,-80.431937,30002
10013,43.429163,-80.431906,30003
10013,43.429362,-80.431903,30004
10013,43.429826,-80.431928,30005
10013,43.430106,-80.431887,30006
10013,43.430279,-80.431814,30007
10013,43.430435,-80.431717,30008
10013,43.430579,-80.431595,30009
10013,43.431258,-80.430903,30010
10013,43.432111,-80.430077,30011
10013,43.432246,-80.429956,30012
10013,43.432246,-80.429956,40001
10013,43.432690,-80.429556,40002
10013,43.432788,-80.429648,40003
10013,43.433675,-80.430606,40004
10013,43.434110,-80.431187,40005
10013,43.434110,-80.431187,50001
10013,43.434298,-80.431439,50002
10013,43.434614,-80.431798,50003
10013,43.435024,-80.432136,50004
10013,43.435606,-80.432752,50005
10013,43.435774,-80.432485,50006
10013,43.435774,-80.432485,60001
10013,43.435933,-80.432234,60002
10013,43.436343,-80.431753,60003
10013,43.436922,-80.430822,60004
10013,43.437130,-80.431049,60005
10013,43.437130,-80.431049,70001
10013,43.438367,-80.432394,70002
10013,43.439074,-80.433157,70003
10013,43.439074,-80.433157,80001
10013,43.439315,-80.433417,80002
10013,43.439720,-80.433917,80003
10013,43.439990,-80.434320,80004
10013,43.440222,-80.434717,80005
10013,43.441191,-80.436701,80006
10013,43.441527,-80.437296,80007
10013,43.441890,-80.437822,80008
10013,43.442163,-80.438161,80009
10013,43.442569,-80.438598,80010
10013,43.443190,-80.439146,80011
10013,43.444596,-80.440349,80012
10013,43.445603,-80.441234,80013
10013,43.445831,-80.441431,80014
10013,43.445831,-80.441431,90001
10013,43.446109,-80.441668,90002
10013,43.446392,-80.441860,90003
10013,43.446923,-80.442150,90004
10013,43.447347,-80.442329,90005
10013,43.447977,-80.442666,90006
10013,43.448581,-80.442967,90007
10013,43.449098,-80.443225,90008
10013,43.449497,-80.443459,90009
10013,43.449497,-80.443459,100001
10013,43.449708,-80.443583,100002
10013,43.450890,-80.444337,100003
10013,43.451379,-80.444653,100004
10013,43.451379,-80.444653,110001
10013,43.452068,-80.445097,110002
10013,43.453944,-80.446322,110003
10013,43.454608,-80.446742,110004
10013,43.455038,-80.447026,110005
10013,43.455038,-80.447026,120001
10013,43.455144,-80.447096,120002
10013,43.456224,-80.447801,120003
10013,43.456583,-80.448105,120004
10013,43.456897,-80.448495,120005
10013,43.457152,-80.448959,120006
10013,43.457249,-80.449207,120007
10013,43.457397,-80.449741,120008
10013,43.457397,-80.449741,130001
10013,43.457486,-80.450059,130002
10013,43.457669,-80.450755,130003
10013,43.458381,-80.453509,130004
10013,43.458680,-80.454675,130005
10013,43.458730,-80.454900,130006
10013,43.458730,-80.454900,140001
10013,43.458803,-80.455233,140002
10013,43.458843,-80.455681,140003
10013,43.458793,-80.457399,140004
10013,43.458657,-80.457403,140005
10013,43.458517,-80.457489,140006
10013,43.458453,-80.457611,140007
10013,43.458341,-80.457976,140008
10013,43.458255,-80.458260,140009
10013,43.458255,-80.458260,150001
10013,43.457872,-80.459507,150002
10013,43.457565,-80.460492,150003
10013,43.457424,-80.460879,150004
10013,43.457424,-80.460879,160001
10013,43.457408,-80.460923,160002
10013,43.457245,-80.461227,160003
10013,43.457024,-80.461535,160004
10013,43.456766,-80.461782,160005
10013,43.456625,-80.461880,160006
10013,43.456365,-80.462128,160007
10013,43.456222,-80.462313,160008
10013,43.456011,-80.462687,160009
10013,43.455877,-80.463039,160010
10013,43.455584,-80.463874,160011
10013,43.455584,-80.463874,170001
10013,43.455121,-80.465191,170002
10013,43.454753,-80.466256,170003
10013,43.454534,-80.466909,170004
10013,43.454259,-80.467688,170005
10013,43.454259,-80.467688,180001
10013,43.454235,-80.467755,180002
10013,43.454062,-80.468305,180003
10013,43.453740,-80.469223,180004
10013,43.453347,-80.470382,180005
10013,43.452917,-80.471686,180006
10013,43.452635,-80.472524,180007
10013,43.452635,-80.472524,190001
10013,43.452567,-80.472726,190002
10013,43.452198,-80.473785,190003
10013,43.451836,-80.474857,190004
10013,43.451571,-80.475639,190005
10013,43.451442,-80.475979,190006
10013,43.451066,-80.477108,190007
10013,43.451007,-80.477274,190008
10013,43.451007,-80.477274,200001
10013,43.450674,-80.478216,200002
10013,43.450288,-80.479339,200003
10013,43.450116,-80.479850,200004
10013,43.449794,-80.480761,200005
10013,43.449794,-80.480761,210001
10013,43.449547,-80.481462,210002
10013,43.449312,-80.481663,210003
10013,43.450527,-80.484335,210004
10013,43.450527,-80.484335,220001
10013,43.450603,-80.484503,220002
10013,43.451357,-80.486117,220003
10013,43.450325,-80.486950,220004
10013,43.449700,-80.487352,220005
10013,43.449384,-80.487546,220006
10013,43.449384,-80.487546,230001
10013,43.449184,-80.487669,230002
10013,43.448782,-80.487947,230003
10013,43.448641,-80.488053,230004
10013,43.448498,-80.488205,230005
10013,43.448498,-80.488205,240001
10013,43.448366,-80.488346,240002
10013,43.447714,-80.489048,240003
10013,43.447295,-80.489456,240004
10013,43.447039,-80.489715,240005
10013,43.446864,-80.489904,240006
10013,43.446864,-80.489904,250001
10013,43.446756,-80.490022,250002
10013,43.446293,-80.490501,250003
10013,43.445800,-80.491017,250004
10013,43.445631,-80.491209,250005
10013,43.445371,-80.491522,250006
10013,43.445770,-80.492219,250007
10013,43.446150,-80.492933,250008
10013,43.445823,-80.493261,250009
10013,43.445823,-80.493261,260001
10013,43.445813,-80.493272,260002
10013,43.445555,-80.493545,260003
10013,43.445264,-80.493836,260004
10013,43.444959,-80.494153,260005
10013,43.444684,-80.494432,260006
10013,43.444684,-80.494432,270001
10013,43.444360,-80.494761,270002
10013,43.444269,-80.494851,270003
10013,43.443178,-80.495962,270004
10013,43.442444,-80.496704,270005
10013,43.442444,-80.496704,280001
10013,43.442364,-80.496785,280002
10013,43.442127,-80.497034,280003
10013,43.441750,-80.497406,280004
10013,43.441141,-80.498037,280005
10013,43.441029,-80.498134,280006
10013,43.440822,-80.498300,280007
10013,43.440359,-80.498777,280008
10013,43.440359,-80.498777,290001
10013,43.440226,-80.498914,290002
10013,43.439436,-80.499704,290003
10013,43.438762,-80.500392,290004
10013,43.438643,-80.500786,290005
10013,43.438599,-80.501168,290006
10013,43.438468,-80.501640,290007
10013,43.438468,-80.501640,300001
10013,43.438458,-80.501676,300002
10013,43.438371,-80.501877,300003
10013,43.438093,-80.502320,300004
10013,43.437778,-80.502653,300005
10013,43.437367,-80.502922,300006
10013,43.437223,-80.502974,300007
10013,43.436844,-80.503195,300008
10013,43.436638,-80.503495,300009
10013,43.436638,-80.503495,310001
10013,43.436558,-80.503612,310002
10013,43.436248,-80.504082,310003
10013,43.435847,-80.504816,310004
10013,43.435236,-80.505922,310005
10013,43.435236,-80.505922,320001
10013,43.434480,-80.507295,320002
10013,43.434195,-80.508021,320003
10013,43.434119,-80.508237,320004
10013,43.434119,-80.508237,330001
10013,43.434056,-80.508415,330002
10013,43.433456,-80.510099,330003
10013,43.433203,-80.510809,330004
10013,43.433203,-80.510809,340001
10013,43.432102,-80.513892,340002
10013,43.432102,-80.513892,350001
10013,43.431887,-80.514492,350002
10013,43.431434,-80.515748,350003
10013,43.431063,-80.516793,350004
10013,43.430827,-80.517286,350005
10013,43.430588,-80.517598,350006
10013,43.430352,-80.517980,350007
10013,43.429809,-80.519523,350008
10013,43.429650,-80.520031,350009
10013,43.429613,-80.520201,350010
10013,43.429613,-80.520201,360001
10013,43.429414,-80.521114,360002
10013,43.429293,-80.521697,360003
10013,43.429108,-80.522584,360004
10013,43.428741,-80.523603,360005
10013,43.428481,-80.524287,360006
10013,43.428481,-80.524287,370001
10013,43.427911,-80.525786,370002
10013,43.427643,-80.526494,370003
10013,43.427643,-80.526494,380001
10013,43.427548,-80.526743,380002
10013,43.427120,-80.527835,380003
10013,43.426683,-80.527511,380004
10013,43.426683,-80.527511,390001
10013,43.426166,-80.527127,390002
10013,43.426000,-80.526964,390003
10013,43.425757,-80.526506,390004
10013,43.425694,-80.526426,390005
10013,43.425694,-80.526426,400001
10013,43.425619,-80.526330,400002
10013,43.425376,-80.526142,400003
10013,43.424718,-80.525706,400004
10013,43.424390,-80.525483,400005
10013,43.424084,-80.525290,400006
10013,43.423536,-80.524708,400007
10013,43.423120,-80.524247,400008
10013,43.422952,-80.524018,400009
10013,43.422816,-80.523751,400010
10013,43.422715,-80.523456,400011
10013,43.422652,-80.523142,400012
10013,43.422652,-80.522709,400013
10013,43.422652,-80.522709,410001
10013,43.422652,-80.521948,410002
10013,43.422589,-80.521536,410003
10013,43.422508,-80.521372,410004
10013,43.422191,-80.520962,410005
10013,43.421932,-80.521414,410006
10013,43.421807,-80.521791,410007
10013,43.421609,-80.522357,410008
10013,43.421609,-80.522357,420001
10013,43.421451,-80.522806,420002
10013,43.421103,-80.523785,420003
10013,43.420748,-80.524795,420004
10013,43.420534,-80.525384,420005
