service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
14702_merged_2203290,20260426,20260627,0,0,0,0,0,0,0
2_merged_2203291,20260426,20260627,0,0,0,0,0,1,0
1202,20260426,20260627,0,0,0,0,0,0,0
23303,20260426,20260627,0,0,0,0,0,0,0
1_merged_2203284,20260628,20260905,1,1,1,1,1,0,0
2201,20260628,20260905,0,0,0,0,0,0,0
2202,20260628,20260905,0,0,0,0,0,0,0
2203,20260628,20260905,0,0,0,0,0,0,0
2303,20260628,20260905,0,0,0,0,0,0,0
1501,20260426,20260627,0,0,0,0,0,0,0
3_merged_2203286,20260426,20260627,0,0,0,0,0,0,1
8701_merged_2203287,20260426,20260627,0,0,0,0,0,0,0
1403,20260628,20260905,0,0,0,0,0,0,0
1402,20260628,20260905,0,0,0,0,0,0,0
1_merged_2203292,20260426,20260627,1,1,1,1,1,0,0
14703_merged_2203281,20260628,20260905,0,0,0,0,0,0,0
7,20260426,20260627,0,0,0,0,0,0,0
14703_merged_2203289,20260426,20260627,0,0,0,0,0,0,0
2_merged_2203283,20260628,20260905,0,0,0,0,0,1,0
14702_merged_2203282,20260628,20260905,0,0,0,0,0,0,0
3401,20260628,20260905,0,0,0,0,0,0,0
14701_merged_2203285,20260426,20260627,0,0,0,0,0,0,0
3403,20260628,20260905,0,0,0,0,0,0,0
3402,20260628,20260905,0,0,0,0,0,0,0
3_merged_2203278,20260628,20260905,0,0,0,0,0,0,1
14602,20260628,20260905,0,0,0,0,0,0,0
14603,20260628,20260905,0,0,0,0,0,0,0
14601,20260628,20260905,0,0,0,0,0,0,0
8701_merged_2203279,20260628,20260905,0,0,0,0,0,0,0
703_merged_2203280,20260628,20260905,0,0,0,0,0,0,0
1601,20260426,20260627,0,0,0,0,0,0,0
703_merged_2203288,20260426,20260627,0,0,0,0,0,0,0
24202,20260628,20260905,0,0,0,0,0,0,0
14701_merged_2203277,20260628,20260905,0,0,0,0,0,0,0
