trip_headsign,shape_id,wheelchair_accessible,service_id,route_id,block_id,direction_id,trip_id,trip_short_name,wheelchair_boarding,bikes_allowed
UPPER GAGE at RYMAL,33839,0,2_merged_2203283,5704,a_492549,0,2166419,,1,1
UPPER GAGE at RYMAL,33839,0,2_merged_2203283,5704,a_492546,0,2166418,,1,1
FRANK A. COOKE TERMINAL,33647,0,3_merged_2203286,5659,b_491470,1,2151553,,1,1
55A - JONES at HIGHWAY 8 via BARTON and GLOVER,33901,0,2_merged_2203283,5718,a_492778,0,2170937,,1,1
HAMILTON GO CENTRE,33572,0,1_merged_2203292,5640,b_491047,1,2145262,,1,1
UPPER GAGE at RYMAL,33839,0,2_merged_2203283,5704,a_492549,0,2166411,,1,1
UPPER GAGE at RYMAL,33839,0,2_merged_2203283,5704,a_492546,0,2166410,,1,1
UPPER GAGE at RYMAL,33839,0,2_merged_2203283,5704,a_492548,0,2166413,,1,1
UPPER GAGE at RYMAL,33839,0,2_merged_2203283,5704,a_492547,0,2166412,,1,1
UPPER GAGE at RYMAL,33839,0,2_merged_2203283,5704,a_492552,0,2166415,,1,1
UPPER GAGE at RYMAL,33839,0,2_merged_2203283,5704,a_492551,0,2166414,,1,1
UPPER GAGE at RYMAL,33839,0,2_merged_2203283,5704,a_492553,0,2166417,,1,1
UPPER GAGE at RYMAL,33839,0,2_merged_2203283,5704,a_492550,0,2166416,,1,1
HAMILTON GO CENTRE,33570,0,2_merged_2203291,5639,b_491023,1,2144853,,1,1
5 - KING at HIGHWAY 8 via DOWNTOWN STONEY CREEK,33596,0,1_merged_2203292,5642,b_491090,1,2146048,,1,1
5A - GREENHILL at COCHRANE via MCMASTER UNIVERSITY,33589,0,1_merged_2203292,5642,b_491113,1,2146049,,1,1
HAMILTON AIRPORT via MOHAWK COLLEGE,33626,0,2_merged_2203291,5652,b_491334,0,2148872,,1,1
5B - MOUNT ALBION LOOP via GREENHILL,33595,0,1_merged_2203292,5642,b_491092,1,2146044,,1,1
5 - KING at HIGHWAY 8 via DOWNTOWN STONEY CREEK,33596,0,1_merged_2203292,5642,b_491106,1,2146045,,1,1
5A - GREENHILL at COCHRANE via MCMASTER UNIVERSITY,33589,0,1_merged_2203292,5642,b_491111,1,2146046,,1,1
5B - MOUNT ALBION LOOP via GREENHILL,33595,0,1_merged_2203292,5642,b_491099,1,2146047,,1,1
5B - MOUNT ALBION LOOP via GREENHILL,33595,0,1_merged_2203292,5642,b_491105,1,2146040,,1,1
5 - KING at HIGHWAY 8 via DOWNTOWN STONEY CREEK,33596,0,1_merged_2203292,5642,b_491101,1,2146041,,1,1
5A - GREENHILL at COCHRANE via MCMASTER UNIVERSITY,33589,0,1_merged_2203292,5642,b_491096,1,2146042,,1,1
DOWNTOWN (MAIN at MACNAB),33594,0,1_merged_2203292,5642,b_491084,1,2146043,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33780,0,2_merged_2203283,5690,a_492220,1,2161999,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33780,0,2_merged_2203283,5690,a_492217,1,2161998,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33576,0,2_merged_2203291,5641,b_491075,1,2145658,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33576,0,2_merged_2203291,5641,b_491072,1,2145659,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33780,0,2_merged_2203283,5690,a_492214,1,2161991,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33780,0,2_merged_2203283,5690,a_492218,1,2161990,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33780,0,2_merged_2203283,5690,a_492215,1,2161993,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33780,0,2_merged_2203283,5690,a_492217,1,2161992,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33780,0,2_merged_2203283,5690,a_492218,1,2161995,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33780,0,2_merged_2203283,5690,a_492216,1,2161994,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33780,0,2_merged_2203283,5690,a_492214,1,2161997,,1,1
4 - DOWNTOWN (JAMES at MAIN) via BURLINGTON STREET,33780,0,2_merged_2203283,5690,a_492219,1,2161996,,1,1
UNIVERSITY PLAZA,33735,0,1_merged_2203292,5678,b_491831,1,2156187,,1,1
16 - MEADOWLANDS TERMINAL via WILSON,33620,0,2_merged_2203291,5650,b_491271,1,2148231,,1,1
5 - HEAD STREET via DOWNTOWN DUNDAS,33587,0,2_merged_2203291,5642,b_491124,0,2146099,,1,1
55 - EASTGATE SQUARE via HIGHWAY 8,33757,0,2_merged_2203291,5680,b_491910,1,2157319,,1,1
UPPER GAGE at RYMAL,33635,0,1_merged_2203292,5655,b_491389,0,2149896,,1,1
UPPER GAGE at RYMAL,33635,0,1_merged_2203292,5655,b_491390,0,2149897,,1,1
UPPER GAGE at RYMAL,33635,0,1_merged_2203292,5655,b_491392,0,2149894,,1,1
UPPER GAGE at RYMAL,33635,0,1_merged_2203292,5655,b_491393,0,2149895,,1,1
UPPER GAGE at RYMAL,33635,0,1_merged_2203292,5655,b_491390,0,2149892,,1,1
UPPER GAGE at RYMAL,33635,0,1_merged_2203292,5655,b_491397,0,2149893,,1,1
UPPER GAGE at RYMAL,33635,0,1_merged_2203292,5655,b_491396,0,2149890,,1,1
UPPER GAGE at RYMAL,33635,0,1_merged_2203292,5655,b_491389,0,2149891,,1,1
DOWNTOWN,33802,0,1_merged_2203284,5692,a_492308,1,2185514,,1,1
5A - GREENHILL at COCHRANE via MCMASTER UNIVERSITY,33589,0,3_merged_2203286,5642,b_491138,1,2146432,,1,1
REID at DUNSMURE,33571,0,1_merged_2203292,5640,b_491046,0,2145172,,1,1
5 - KING at HIGHWAY 8 via DOWNTOWN STONEY CREEK,33596,0,3_merged_2203286,5642,b_491132,1,2146433,,1,1
UPPER GAGE at RYMAL,33635,0,1_merged_2203292,5655,b_491397,0,2149898,,1,1
UPPER GAGE at RYMAL,33635,0,1_merged_2203292,5655,b_491392,0,2149899,,1,1
UPPER OTTAWA at RYMAL,33633,0,1_merged_2203292,5654,b_491373,0,2149548,,1,1
UPPER OTTAWA at RYMAL,33633,0,1_merged_2203292,5654,b_491375,0,2149549,,1,1
LIME RIDGE MALL,33843,0,1_merged_2203284,5706,a_492565,0,2172548,,1,1
LIME RIDGE MALL,33843,0,1_merged_2203284,5706,a_492575,0,2172549,,1,1
FRANK A. COOKE TERMINAL,33851,0,1_merged_2203284,5708,a_492608,1,2185413,,1,1
REID at DUNSMURE,33571,0,3_merged_2203286,5640,b_491057,0,2145383,,1,1
REID at DUNSMURE,33571,0,3_merged_2203286,5640,b_491058,0,2145380,,1,1
REID at DUNSMURE,33571,0,3_merged_2203286,5640,b_491057,0,2145381,,1,1
FRANK A. COOKE TERMINAL,33842,0,1_merged_2203284,5705,a_492536,1,2172542,,1,1
FRANK A. COOKE TERMINAL,33842,0,1_merged_2203284,5705,a_492538,1,2172543,,1,1
FRANK A. COOKE TERMINAL,33842,0,1_merged_2203284,5705,a_492544,1,2172540,,1,1
FRANK A. COOKE TERMINAL,33842,0,1_merged_2203284,5705,a_492534,1,2172541,,1,1
FRANK A. COOKE TERMINAL,33842,0,1_merged_2203284,5705,a_492536,1,2172546,,1,1
FRANK A. COOKE TERMINAL,33842,0,1_merged_2203284,5705,a_492538,1,2172547,,1,1
FRANK A. COOKE TERMINAL,33842,0,1_merged_2203284,5705,a_492536,1,2172544,,1,1
FRANK A. COOKE TERMINAL,33842,0,1_merged_2203284,5705,a_492538,1,2172545,,1,1
FRANK A. COOKE TERMINAL,33844,0,3_merged_2203278,5706,a_492588,1,2167236,,1,1
DOWNTOWN,33802,0,1_merged_2203284,5692,a_492304,1,2185513,,1,1
UNIVERSITY PLAZA,33735,0,1_merged_2203292,5678,b_491824,1,2156188,,1,1
DOWNTOWN (MAIN at MACNAB),33590,0,3_merged_2203286,5642,b_491143,1,2146439,,1,1
FRANK A. COOKE TERMINAL,33851,0,1_merged_2203284,5708,a_492603,1,2185410,,1,1
5B - MOUNT ALBION LOOP via GREENHILL,33595,0,3_merged_2203286,5642,b_491146,1,2146438,,1,1
UPPER OTTAWA at RYMAL,33633,0,3_merged_2203286,5654,b_491382,0,2149728,,1,1
55 - EASTGATE SQUARE via HIGHWAY 8,33757,0,2_merged_2203291,5680,b_491908,1,2157317,,1,1
CONFEDERATION WALMART,33893,0,2_merged_2203283,5715,a_492727,1,2169956,,1,1
UPPER OTTAWA at RYMAL,33633,0,3_merged_2203286,5654,b_491383,0,2149729,,1,1
EASTGATE SQUARE,33770,0,1_merged_2203284,5687,a_492116,0,2160156,,1,1
EASTGATE SQUARE,33769,0,1_merged_2203284,5687,a_492109,0,2160157,,1,1
EASTGATE SQUARE,33770,0,1_merged_2203284,5687,a_492115,0,2160154,,1,1
EASTGATE SQUARE,33769,0,1_merged_2203284,5687,a_492113,0,2160155,,1,1
EASTGATE SQUARE,33770,0,1_merged_2203284,5687,a_492114,0,2160152,,1,1
EASTGATE SQUARE,33769,0,1_merged_2203284,5687,a_492111,0,2160153,,1,1
EASTGATE SQUARE,33770,0,1_merged_2203284,5687,a_492118,0,2160150,,1,1
EASTGATE SQUARE,33769,0,1_merged_2203284,5687,a_492119,0,2160151,,1,1
DOWNTOWN,33603,0,1_merged_2203292,5645,b_491168,1,2147124,,1,1
EASTGATE SQUARE,33770,0,1_merged_2203284,5687,a_492120,0,2160158,,1,1
EASTGATE SQUARE,33769,0,1_merged_2203284,5687,a_492110,0,2160159,,1,1
EASTGATE SQUARE,33770,0,2_merged_2203283,5687,a_492129,0,2160488,,1,1
EASTGATE SQUARE,33770,0,2_merged_2203283,5687,a_492128,0,2160489,,1,1
HILLCREST LOOP,33599,0,3_merged_2203286,5644,b_491176,0,2146975,,1,1
DOWNTOWN (KING at JAMES),33582,0,2_merged_2203291,5642,b_491124,0,2146159,,1,1
UPPER OTTAWA at RYMAL,33633,0,3_merged_2203286,5654,b_491384,0,2149725,,1,1
EASTGATE SQUARE,33770,0,2_merged_2203283,5687,a_492127,0,2160480,,1,1
EASTGATE SQUARE,33770,0,2_merged_2203283,5687,a_492130,0,2160481,,1,1
EASTGATE SQUARE,33770,0,2_merged_2203283,5687,a_492129,0,2160482,,1,1
EASTGATE SQUARE,33770,0,2_merged_2203283,5687,a_492128,0,2160483,,1,1
EASTGATE SQUARE,33770,0,2_merged_2203283,5687,a_492131,0,2160484,,1,1
EASTGATE SQUARE,33770,0,2_merged_2203283,5687,a_492132,0,2160485,,1,1
EASTGATE SQUARE,33770,0,2_merged_2203283,5687,a_492127,0,2160486,,1,1
EASTGATE SQUARE,33770,0,2_merged_2203283,5687,a_492130,0,2160487,,1,1
