stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
S02077,Cataraqui Centre,44.25508,-76.57215,0
00799,Midland / Norwest,44.25722,-76.57395,0
09075,Andersen / Crossfield,44.26475,-76.54892,0
00858,Chadwick Parkette,44.26208,-76.54846,0
00006,Andersen / Sheridan,44.2604,-76.54911,0
S00399,Kingston Gospel Temple,44.25801,-76.54824,0
00407,Waterloo / Vanguard,44.25257,-76.54781,0
00406,Waterloo / Friarhill,44.25398,-76.55169,0
00403,Waterloo / Uxbridge,44.2544,-76.55546,0
00098,Taylor-Kidd / Bexley,44.25125,-76.5613,0
00815,Taylor-Kidd / Rockwell,44.25096,-76.56476,0
00097,Midland / Norwest,44.25709,-76.57422,0
S02078,Cataraqui Centre,44.25499,-76.57238,0
S00503,Kingston Centre,44.24181,-76.51679,0
00111,257 Bath Rd.,44.24018,-76.52331,0
01017,277 Bath Rd.,44.23993,-76.52598,0
00509,Bath / Grenville,44.23913,-76.53313,0
02063,258 Queen Mary Rd.,44.23777,-76.53599,0
02065,204 Queen Mary Rd.,44.23573,-76.53486,0
00507,Robert Wallace / Queen Mary,44.23442,-76.53287,0
00504,160 Robert Wallace Dr.,44.23475,-76.52955,0
00467,Portsmouth / Curtis,44.227,-76.52586,0
S02070,St. Lawrence College,44.22372,-76.52642,0
00751,Portsmouth / Baiden,44.2213,-76.52529,0
02069,Beechgrove,44.22047,-76.52292,0
02068,King / Mowat,44.22062,-76.52071,0
00455,Union / Yonge,44.22221,-76.51728,0
S02009,Queen's West Campus,44.22303,-76.51447,0
S00413,King / Sir John A. Macdonald,44.22112,-76.51203,0
00415,King / Livingston,44.22134,-76.50893,0
S00417,The Isabel/Tett Centres,44.2215,-76.5067,0
00423,King / Albert,44.22245,-76.49956,0
00424,King / Lower University,44.22288,-76.49517,0
00324,King / George,44.22262,-76.49132,0
00322,King / Maitland,44.22391,-76.48795,0
00316,West / Ontario,44.22447,-76.48609,0
00314,Ontario / Lower Union,44.22516,-76.48431,0
00311,Ontario / Earl,44.22669,-76.4829,0
00309,Ontario / Johnson,44.22851,-76.4812,0
S02037,Downtown,44.23107,-76.48491,0
00310,Ontario / William,44.22723,-76.48264,0
00312,Ontario / Gore,44.22594,-76.48382,0
00313,Ontario / Lower Union,44.2251,-76.48459,0
00315,West / King,44.22471,-76.48608,0
00321,King / Maitland,44.22384,-76.48835,0
00323,King / George,44.22275,-76.49131,0
00425,King / Lower University,44.223,-76.4953,0
