route_id,service_id,trip_id,trip_headsign,shape_id,block_id
601,1873,2233150:573511:580630,Express - Queen's/KGH via CFB Kingston,1832,580630
1,1871,2230056:573535:644012,Montreal Street,1778,644012
1,1876,2230056:573535:644745,Montreal Street,1778,644745
12,1857,2231215:573538:580543,CFB Kingston,1890,580543
22,1877,2232858:573541:644811,Innovation / Highway 15,1727,644811
601,1873,2233088:573542:580845,Express - Queen's/KGH via CFB Kingston,1832,580845
2,1873,2232367:573543:580830,Division Street,1784,580830
2,1875,2233925:573550:580535,Division Street,1784,580535
60,1875,2234829:573551:580624,King's Crossing North,1877,580624
601,1857,2229961:573552:580498,Express - Queen's/KGH via CFB Kingston,1832,580498
802,1857,2230485:573557:643981,Express - Montreal Street Park & Ride,1312,643981
602,1857,2229976:573558:580515,Express - Innovation / Highway 15 via CFB,1471,580515
802,1875,2234320:573563:644254,Express - Montreal Street Park & Ride,1312,644254
601,1857,2230633:573565:580521,A - Express - Queen's/KGH via Highway 15,1835,580521
22,1874,2234141:573588:644180,Innovation / Highway 15,1727,644180
22,1878,2234141:573588:644836,Innovation / Highway 15,1727,644836
1,1871,2230082:573589:644082,Montreal Street,1778,644082
1,1876,2230082:573589:644744,Montreal Street,1778,644744
802,1871,2230598:573590:644331,Express - Montreal Street Park & Ride,1312,644331
802,1876,2230598:573590:644817,Express - Montreal Street Park & Ride,1312,644817
702,1857,2230563:573593:644351,Express - King's Crossing via Division,1584,644351
801,1875,2234316:573606:643999,Express - Cataraqui Centre via Brock/Bath,1468,643999
802,1875,2234325:573609:644254,Express - Montreal Street Park & Ride,1312,644254
801,1857,2230523:573612:644079,Express - Cataraqui Centre via Brock/Bath,1468,644079
2,1857,2229982:573620:580598,Train Station,1820,580598
602,1857,2230637:573625:634032,Express - Innovation / Highway 15 via CFB,1576,634032
701,1857,2231122:573628:644188,Express - Cataraqui Centre via Downtown,1610,644188
801,1875,2234371:573634:644363,Express - Cataraqui Centre via Brock/Bath,1468,644363
1,1875,2233982:573636:634048,St. Lawrence College,1769,634048
N1,1873,2233229:573637:634221,Bus Terminal,1834,634221
90B,1870,2238514:573653:580768,Loyalist Link - Amherstview,1702,580768
801,1875,2234372:573655:644363,Express - Cataraqui Centre via Brock/Bath,1468,644363
1,1875,2233971:573658:634215,Montreal Street,1778,634215
1,1871,2230034:573663:644067,Montreal Street,1778,644067
1,1876,2230034:573663:644798,Montreal Street,1778,644798
2,1875,2233911:573664:580535,Train Station,1780,580535
801,1857,2230513:573666:644377,Express - Cataraqui Centre via Brock/Bath,1468,644377
31,1871,2229950:573673:644255,B - Kingston Centre,1790,644255
31,1876,2229950:573673:644795,B - Kingston Centre,1790,644795
12,1857,2231207:573682:580763,CFB Kingston,1890,580763
602,1857,2230654:573686:634032,Express - Innovation / Highway 15 via CFB,1576,634032
2,1875,2234574:573691:580607,Division Street,1784,580607
802,1857,2230478:573692:634141,Express - Montreal Street Park & Ride,1312,634141
2,1857,2230028:573703:580885,Division Street,1784,580885
802,1875,2234332:573706:643999,Express - Montreal Street Park & Ride,1312,643999
802,1873,2232350:573725:644293,Express - Montreal Street Park & Ride,1312,644293
1,1873,2232636:573730:634287,St. Lawrence College,1769,634287
602,1873,2233101:573734:580845,Express - Innovation / Highway 15 via CFB,1576,580845
602,1857,2231189:573745:634032,Express - Innovation / Highway 15 via CFB,1576,634032
22,1874,2234163:573757:643988,First Canada via MacCauley,1872,643988
22,1878,2234163:573757:644759,First Canada via MacCauley,1872,644759
