service_id,date,exception_type
11204,20260628,1
11202,20260629,1
11202,20260630,1
30,20260701,1
2,20260701,2
11202,20260702,1
11202,20260703,1
11203,20260704,1
11204,20260705,1
11202,20260706,1
11202,20260707,1
11202,20260708,1
11202,20260709,1
11202,20260710,1
11203,20260711,1
11204,20260712,1
11202,20260713,1
11202,20260714,1
11202,20260715,1
11202,20260716,1
11202,20260717,1
11203,20260718,1
11204,20260719,1
11202,20260720,1
11202,20260721,1
11202,20260722,1
11202,20260723,1
11202,20260724,1
11203,20260725,1
11204,20260726,1
11202,20260727,1
11202,20260728,1
11202,20260729,1
11202,20260730,1
11202,20260731,1
11203,20260801,1
11204,20260802,1
30,20260803,1
2,20260803,2
11202,20260804,1
11202,20260805,1
11202,20260806,1
11202,20260807,1
11203,20260808,1
11204,20260809,1
11202,20260810,1
11202,20260811,1
11202,20260812,1
11202,20260813,1
11202,20260814,1
11203,20260815,1
11204,20260816,1
11202,20260817,1
11202,20260818,1
11202,20260819,1
11202,20260820,1
11202,20260821,1
11203,20260822,1
11204,20260823,1
11202,20260824,1
11202,20260825,1
11202,20260826,1
11202,20260827,1
11202,20260828,1
11203,20260829,1
11204,20260830,1
11202,20260831,1
11202,20260901,1
11202,20260902,1
11202,20260903,1
11202,20260904,1
11203,20260905,1
