route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
71,26AU03-CPBlock-Weekday-11,30309176,71 W Sheridan To Plymouth Loop,,1,2876403,710062,1,1
71,26AU03-CPBlock-Weekday-11,30309177,71 W Sheridan To Plymouth Loop,,1,2876343,710062,1,1
71,26AU03-CPBlock-Weekday-11,30309178,71 E Sheridan To Kipling Terminal,,0,2876233,710061,1,1
71,26AU03-CPBlock-Weekday-11,30309179,71 E Sheridan To Kipling Terminal,,0,2876425,710061,1,1
90,26AU03-CPBlock-Weekday-11,30309180,90 W Terragar To Meadowvale,,1,2876209,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309181,90 W Terragar To Meadowvale,,1,2876209,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309182,90 W Terragar To Meadowvale,,1,2876209,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309183,90 E Copenhagen To Meadowvale,,0,2876210,900062,1,1
90,26AU03-CPBlock-Weekday-11,30309184,90 E Copenhagen To Meadowvale,,0,2876209,900062,1,1
90,26AU03-CPBlock-Weekday-11,30309185,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309186,90 E Copenhagen To Meadowvale,,0,2876210,900062,1,1
90,26AU03-CPBlock-Weekday-11,30309187,90 W Terragar To Meadowvale,,1,2876209,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309188,90 E Copenhagen To Meadowvale,,0,2876209,900062,1,1
90,26AU03-CPBlock-Weekday-11,30309189,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309190,90 E Copenhagen To Meadowvale,,0,2876210,900062,1,1
90,26AU03-CPBlock-Weekday-11,30309191,90 W Terragar To Meadowvale,,1,2876209,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309192,90 E Copenhagen To Meadowvale,,0,2876209,900062,1,1
90,26AU03-CPBlock-Weekday-11,30309193,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309194,90 E Copenhagen To Meadowvale,,0,2876210,900062,1,1
90,26AU03-CPBlock-Weekday-11,30309195,90 W Terragar To Meadowvale,,1,2876209,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309196,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309197,90 E Copenhagen To Meadowvale,,0,2876210,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309198,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309199,90 E Copenhagen To Meadowvale,,0,2876210,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309200,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309201,90 E Copenhagen To Meadowvale,,0,2876210,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309202,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309203,90 E Copenhagen To Meadowvale,,0,2876210,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309204,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309205,90 E Copenhagen To Meadowvale,,0,2876210,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309206,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309207,90 E Copenhagen To Meadowvale,,0,2876210,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309208,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309209,90 E Copenhagen To Meadowvale,,0,2876211,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309210,90 W Terragar To Meadowvale,,1,2876211,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309211,90 E Copenhagen To Meadowvale,,0,2876210,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309212,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309213,90 E Copenhagen To Meadowvale,,0,2876211,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309214,90 W Terragar To Meadowvale,,1,2876211,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309215,90 E Copenhagen To Meadowvale,,0,2876210,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309216,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309217,90 E Copenhagen To Meadowvale,,0,2876211,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309218,90 W Terragar To Meadowvale,,1,2876211,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309219,90 E Copenhagen To Meadowvale,,0,2876210,900064,1,1
90,26AU03-CPBlock-Weekday-11,30309220,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309221,90 E Copenhagen To Meadowvale,,0,2876211,900064,1,1
90,26AU03-CPBlock-Weekday-11,30309222,90 W Terragar To Meadowvale,,1,2876211,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309223,90 E Copenhagen To Meadowvale,,0,2876210,900064,1,1
90,26AU03-CPBlock-Weekday-11,30309224,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309225,90 E Copenhagen To Meadowvale,,0,2876211,900064,1,1
90,26AU03-CPBlock-Weekday-11,30309226,90 W Terragar To Meadowvale,,1,2876211,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309227,90 E Copenhagen To Meadowvale,,0,2876210,900064,1,1
90,26AU03-CPBlock-Weekday-11,30309228,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309229,90 E Copenhagen To Meadowvale,,0,2876211,900064,1,1
90,26AU03-CPBlock-Weekday-11,30309230,90 W Terragar To Meadowvale,,1,2876211,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309231,90 E Copenhagen To Meadowvale,,0,2876210,900064,1,1
90,26AU03-CPBlock-Weekday-11,30309232,90 W Terragar To Meadowvale,,1,2876210,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309233,90 E Copenhagen To Meadowvale,,0,2876211,900064,1,1
90,26AU03-CPBlock-Weekday-11,30309234,90 W Terragar To Meadowvale,,1,2876211,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309235,90 E Copenhagen To Meadowvale,,0,2876211,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309236,90 W Terragar To Meadowvale,,1,2876211,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309237,90 E Copenhagen To Meadowvale,,0,2876211,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309238,90 W Terragar To Meadowvale,,1,2876211,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309239,90 E Copenhagen To Meadowvale,,0,2876211,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309240,90 W Terragar To Meadowvale,,1,2876211,900061,1,1
90,26AU03-CPBlock-Weekday-11,30309241,90 E Copenhagen To Meadowvale,,0,2876211,900063,1,1
90,26AU03-CPBlock-Weekday-11,30309242,90 W Terragar To Meadowvale,,1,2876211,900061,1,1
8,26AU03-CPBlock-Weekday-11,30309243,8 S Cawthra To Port Credit Go,,1,2876222,80249,1,1
8,26AU03-CPBlock-Weekday-11,30309244,8 N Cawthra To City Centre,,0,2876222,80250,1,1
8,26AU03-CPBlock-Weekday-11,30309245,8 N Cawthra To City Centre,,0,2876247,80250,1,1
8,26AU03-CPBlock-Weekday-11,30309246,8 S Cawthra To Port Credit Go,,1,2876223,80249,1,1
8,26AU03-CPBlock-Weekday-11,30309247,8 N Cawthra To City Centre,,0,2876247,80250,1,1
