service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,0,20260517,20260718
2,1,1,1,1,1,0,0,20260517,20260718
3,1,1,1,1,0,0,0,20260517,20260718
4,0,0,0,0,0,1,0,20260517,20260718
5,0,0,0,0,0,0,1,20260517,20260718
7,0,0,0,0,0,0,1,20260517,20260718
8,0,0,0,0,0,0,1,20260517,20260718
10,0,0,0,0,0,1,0,20260517,20260718
11,0,0,0,0,1,0,0,20260517,20260718
12,1,0,1,0,0,0,0,20260517,20260718
13,1,1,1,1,1,0,0,20260517,20260718
14,0,0,0,0,0,1,0,20260517,20260718
