service_id,date,exception_type
1,20260523,2
1,20260530,2
1,20260606,1
1,20260613,2
1,20260620,2
1,20260627,2
1,20260704,2
1,20260711,2
1,20260718,1
2,20260518,2
2,20260701,2
3,20260518,2
3,20260701,2
5,20260518,1
5,20260701,1
7,20260518,1
7,20260701,1
12,20260518,1
12,20260520,2
12,20260525,2
12,20260527,2
12,20260601,2
12,20260603,2
12,20260608,2
12,20260610,2
12,20260615,2
12,20260617,2
12,20260622,2
12,20260624,2
12,20260629,2
12,20260701,1
12,20260706,2
12,20260708,2
12,20260713,2
12,20260715,2
13,20260518,2
13,20260701,2
14,20260606,2
14,20260718,2
