stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2,1,"CHURCH ST + LYMAN ST",,43.160578,-79.246503,,,,,,1
3,2,"JAMES ST + DUKE ST",,43.160578,-79.247957,,,,,,1
4,3,"JAMES ST + LAKE ST",,43.161683,-79.250078,,,,,,2
5,4,"WELLAND AVE + YORK ST",,43.161393,-79.252899,,,,,,1
7,6,"FOURTH AVE + RIDLEY PLAZA",,43.155833,-79.263065,,,,,,1
8,1239,"FOURTH AVE + SMART CTR",,43.155627,-79.268342,,,,,,1
9,1240,"FOURTH AVE + VANSICKLE RD",,43.155547,-79.270408,,,,,,1
11,1242,"NIAGARA HEALTH SYSTEM - MAROTTA FAMILY HOSPITAL",,43.152973,-79.276837,,,,,,1
12,1243,"FIRST ST LOUTH + FOURTH AVE",,43.155007,-79.276153,,,,,,2
13,1244,"FOURTH AVE + VANSICKLE RD",,43.155388,-79.270948,,,,,,2
14,1245,"FOURTH AVE + SMART CTR",,43.155477,-79.268207,,,,,,1
15,1246,"MARTINDALE RD + RIDLEY PLAZA",,43.156335,-79.265187,,,,,,1
16,7,"MARTINDALE RD + ELDERWOOD DR",,43.158472,-79.265242,,,,,,2
17,8,"MARTINDALE RD + FAWELL AVE",,43.163455,-79.266610,,,,,,1
18,9,"GRAPEVIEW DR + MARTINDALE RD",,43.165252,-79.268643,,,,,,2
19,10,"GRAPEVIEW DR + VANSICKLE RD N",,43.164433,-79.270885,,,,,,1
20,11,"GRAPEVIEW DR + STONEY BROOK CRES",,43.163535,-79.273448,,,,,,1
21,12,"GRAPEVIEW DR + FIRST ST LOUTH",,43.162493,-79.276250,,,,,,2
22,13,"FIRST ST LOUTH + THIRD AVE LOUTH",,43.164330,-79.276552,,,,,,2
23,14,"FIRST ST LOUTH + ENDICOTT DR",,43.166475,-79.276598,,,,,,2
24,15,"FIRST ST LOUTH + HUNTINGTON LANE",,43.169518,-79.276678,,,,,,2
25,16,"FIRST ST LOUTH + ERION RD",,43.171705,-79.276750,,,,,,2
26,17,"ERION RD + HUNTINGTON SQUARE",,43.172078,-79.274318,,,,,,1
