trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10349020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148442202,shp-101-53,1,1
11272020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148443202,shp-101-53,1,1
1368070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148510207,shp-101-53,1,1
1411020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148444202,shp-101-53,1,1
25070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148505207,shp-101-53,1,1
2668020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148443202,shp-101-53,1,1
3850020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148445202,shp-101-53,1,1
3850070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148508207,shp-101-53,1,1
4367020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148443202,shp-101-53,1,1
8236070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148507207,shp-101-53,1,1
8236020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148444202,shp-101-53,1,1
8559070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148506207,shp-101-53,1,1
9614070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148509207,shp-101-53,1,1
10123070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148506207,shp-101-53,1,1
10123020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148443202,shp-101-53,1,1
10349070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148505207,shp-101-53,1,1
11272070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148506207,shp-101-53,1,1
11347020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148443202,shp-101-53,1,1
11347070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148506207,shp-101-53,1,1
1630070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148509207,shp-101-53,1,1
2558020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148442202,shp-101-53,1,1
2558070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148505207,shp-101-53,1,1
4367070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148506207,shp-101-53,1,1
1368020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148447202,shp-101-53,1,1
1411070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148507207,shp-101-53,1,1
1630020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148446202,shp-101-53,1,1
8866020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148442202,shp-101-53,1,1
9788020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148442202,shp-101-53,1,1
25020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148442202,shp-101-53,1,1
2668070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148506207,shp-101-53,1,1
7105020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148442202,shp-101-53,1,1
7105070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148505207,shp-101-53,1,1
8559020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148443202,shp-101-53,1,1
8866070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148505207,shp-101-53,1,1
9614020,101,13,"DUNN ST. - CANADIAN DRIVE HUB",,0,148446202,shp-101-53,1,1
9788070,101,10,"DUNN ST. - CANADIAN DRIVE HUB",,0,148505207,shp-101-53,1,1
6565020,101,13,"DUNN ST. - MAIN & FERRY",,1,148442202,shp-101-03,1,1
6573070,101,10,"DUNN ST. - MAIN & FERRY",,1,148505207,shp-101-03,1,1
5186020,101,13,"DUNN ST. - MAIN & FERRY",,1,148442202,shp-101-03,1,1
2222020,101,13,"DUNN ST. - MAIN & FERRY",,1,148444202,shp-101-03,1,1
2222070,101,10,"DUNN ST. - MAIN & FERRY",,1,148507207,shp-101-03,1,1
3428020,101,13,"DUNN ST. - MAIN & FERRY",,1,148445202,shp-101-03,1,1
2187070,101,10,"DUNN ST. - MAIN & FERRY",,1,148509207,shp-101-03,1,1
719070,101,10,"DUNN ST. - MAIN & FERRY",,1,148506207,shp-101-03,1,1
1306070,101,10,"DUNN ST. - MAIN & FERRY",,1,148505207,shp-101-03,1,1
1452070,101,10,"DUNN ST. - MAIN & FERRY",,1,148508207,shp-101-03,1,1
6565070,101,10,"DUNN ST. - MAIN & FERRY",,1,148505207,shp-101-03,1,1
6573020,101,13,"DUNN ST. - MAIN & FERRY",,1,148442202,shp-101-03,1,1
4655070,101,10,"DUNN ST. - MAIN & FERRY",,1,148510207,shp-101-03,1,1
2187020,101,13,"DUNN ST. - MAIN & FERRY",,1,148446202,shp-101-03,1,1
3410020,101,13,"DUNN ST. - MAIN & FERRY",,1,148447202,shp-101-03,1,1
11070020,101,13,"DUNN ST. - MAIN & FERRY",,1,148443202,shp-101-03,1,1
10801070,101,10,"DUNN ST. - MAIN & FERRY",,1,148505207,shp-101-03,1,1
10195070,101,10,"DUNN ST. - MAIN & FERRY",,1,148505207,shp-101-03,1,1
8644020,101,13,"DUNN ST. - MAIN & FERRY",,1,148443202,shp-101-03,1,1
8644070,101,10,"DUNN ST. - MAIN & FERRY",,1,148506207,shp-101-03,1,1
5186070,101,10,"DUNN ST. - MAIN & FERRY",,1,148505207,shp-101-03,1,1
4670070,101,10,"DUNN ST. - MAIN & FERRY",,1,148506207,shp-101-03,1,1
4655020,101,13,"DUNN ST. - MAIN & FERRY",,1,148447202,shp-101-03,1,1
4670020,101,13,"DUNN ST. - MAIN & FERRY",,1,148443202,shp-101-03,1,1
694020,101,13,"DUNN ST. - MAIN & FERRY",,1,148443202,shp-101-03,1,1
694070,101,10,"DUNN ST. - MAIN & FERRY",,1,148506207,shp-101-03,1,1
719020,101,13,"DUNN ST. - MAIN & FERRY",,1,148443202,shp-101-03,1,1
3410070,101,10,"DUNN ST. - MAIN & FERRY",,1,148510207,shp-101-03,1,1
3428070,101,10,"DUNN ST. - MAIN & FERRY",,1,148508207,shp-101-03,1,1
1452020,101,13,"DUNN ST. - MAIN & FERRY",,1,148445202,shp-101-03,1,1
1306020,101,13,"DUNN ST. - MAIN & FERRY",,1,148442202,shp-101-03,1,1
1516020,101,13,"DUNN ST. - MAIN & FERRY",,1,148443202,shp-101-03,1,1
1516070,101,10,"DUNN ST. - MAIN & FERRY",,1,148506207,shp-101-03,1,1
10801020,101,13,"DUNN ST. - MAIN & FERRY",,1,148442202,shp-101-03,1,1
11070070,101,10,"DUNN ST. - MAIN & FERRY",,1,148506207,shp-101-03,1,1
10195020,101,13,"DUNN ST. - MAIN & FERRY",,1,148442202,shp-101-03,1,1
10024070,102,10,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148505207,shp-102-13,1,1
10903020,102,13,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148442202,shp-102-13,1,1
10024020,102,13,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148442202,shp-102-13,1,1
1700070,102,10,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148505207,shp-102-13,1,1
1465070,102,10,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148507207,shp-102-13,1,1
7308020,102,13,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148447202,shp-102-13,1,1
6915020,102,13,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148446202,shp-102-13,1,1
6524020,102,13,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148443202,shp-102-13,1,1
6524070,102,10,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148506207,shp-102-13,1,1
3461020,102,13,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148443202,shp-102-13,1,1
3461070,102,10,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148506207,shp-102-13,1,1
3109070,102,10,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148505207,shp-102-13,1,1
5190070,102,10,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148506207,shp-102-13,1,1
5320070,102,10,"BUS TERMINAL -MORRISON/DORCHESTER",,1,148509207,shp-102-13,1,1
