stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.448999,0,2498,-79.737858,,,,,4th Line + Billinger St,0,619,
43.443398,0,3031,-79.768671,,,,,Dundas St West + Postmaster Dr,0,1140,
43.4885,0,2586,-79.7126,,,,,North Ridge Trail + Postridge Dr,0,1160,
43.4241,0,3028,-79.7748,,,,,Colonel William Pkwy + Stockbridge Ave,0,527,
43.4335,0,2093,-79.702469,,,,,Speers Rd + Fourth Line,0,1735,
43.4407,0,2535,-79.6837,,,,,Mary St + Maurice Dr,0,429,
43.4643,0,2602,-79.6679,,,,,Linbrook Rd at Linbrook Public School,0,690,
43.4689,0,2899,-79.7194,,,,,Sixth Line south of Munn's Ave,0,669,
43.4596,0,3068,-79.6756,,,,,Cornwall Rd + Watson Ave,0,1257,
43.5133,0,3208,-79.6684,,,,,Winston Churchill Blvd + North Sheridan Way,0,818,
43.445923,0,1033,-79.76044,,,,,Pine Glen Rd + Whistling Springs Cr,0,819,
43.4681,0,2760,-79.6889,,,,,White Oaks Blvd + 1230 White Oaks Blvd,0,346,
43.475269,0,2239,-79.708687,,,,,River Oaks Blvd East + Oak Springs Rd,0,347,
43.4718,0,2878,-79.7101,,,,,Oakmead Blvd + Castlefield Cr,0,340,
43.427262,0,3124,-79.699835,,,,,Bridge Rd + Winston Rd,0,341,
43.479313,0,2934,-79.64641,,,,,Devon Rd + Adair Cr,0,342,
43.4427,0,2549,-79.68,,,,,Kerr St + Westside Dr,0,343,
43.430243,0,2403,-79.746257,,,,,Heritage Way + Reeves Gate,0,811,
43.46237,0,2309,-79.670043,,,,,Linbrook Rd + Chartwell Rd,0,812,
43.4107,0,2620,-79.7181,,,,,Bridge Rd + Vyner Cr,0,813,
43.474696,0,3395,-79.673266,,,,,1185 North Service Rd East,0,348,
43.464391,0,2964,-79.703132,,,,,White Oaks Secondary School,0,349,
43.384875,0,3364,-79.734729,,,,,Great Lakes Blvd + Rebecca St,0,816,
43.481272,0,2091,-79.726747,,,,,Dundas St East + Post Rd,0,1739,
43.391583,0,2168,-79.752392,,,,,Harvester Rd + Burloak Dr,0,1522,
43.450813,0,3228,-79.701286,,,,,North Service Rd West east of Dorval Dr,0,719,
43.5206,0,2585,-79.6843,,,,,Dundas St West + Hampshire Gate,0,718,
43.44073,0,3448,-79.771,,,,,Dundas St West + Palermo Way,0,1793,
43.440911,0,3447,-79.771145,,,,,Dundas St West + Palermo Way,0,1792,
43.431,0,3108,-79.718,,,,,1275 North Service Rd West,0,715,
43.457392,0,3071,-79.67721,,,,,Cornwall Rd + Allan St,0,714,
43.3763,0,3372,-79.7305,,,,,Burloak Dr + Randolph Cr,0,713,
43.4332,0,3315,-79.7109,,,,,1131 South Service Rd West,0,712,
43.492639,0,3454,-79.725721,,,,,Trafalgar Rd + Threshing Mills Blvd,0,1795,
43.4945,0,3043,-79.6979,,,,,North Ridge Trail + Hall Manor Dr,0,710,
43.45054,0,2245,-79.76471,,,,,OTMH West Entrance,0,1397,
43.47663,0,2235,-79.706125,,,,,River Oaks Blvd East + Namron Gate,0,1296,
43.478103,0,3155,-79.706107,,,,,Trafalgar Rd + Briarhall Gate,0,420,
43.4389,0,2733,-79.7186,,,,,Pilgrims Way + Mayfair Rd,0,606,
43.44,0,2735,-79.7184,,,,,Nottinghill Gate + Pilgrims Way,0,660,
43.4942,0,2865,-79.6604,,,,,Wynten Way + Gable Dr,0,423,
43.507682,0,3280,-79.633227,,,,,2200 Royal Windsor Dr,0,961,
43.461547,0,1010,-79.722434,,,,,Munn's Ave + Neyagawa Blvd,0,594,
43.473017,0,3152,-79.698685,,,,,Trafalgar Rd + White Oaks Blvd (North),0,1068,
43.390773,0,2173,-79.753709,,,,,Harvester Rd + Syscon Rd,0,1527,
43.440293,0,1036,-79.760475,,,,,Postmaster Dr + Woodbriar Ct,0,422,
43.4126,0,2582,-79.7157,,,,,Bridge Rd + Scarsdale Cr,0,1061,
43.5045,0,3257,-79.6593,,,,,Kingsway Dr + Prince John Cir (First Stop),0,1060,
43.4669,0,2606,-79.6622,,,,,Morrison Rd + Devon Rd,0,1063,
43.4327,0,3329,-79.7793,,,,,Dundas St West + Valleyridge Dr,0,1062,
43.466262,0,2905,-79.728787,,,,,McDowell Ave + Towne Blvd,0,1065,
43.474457,0,3224,-79.701399,,,,,Trafalgar Rd + Upper Middle Rd E,0,1067,
43.433183,0,2679,-79.696154,,,,,Wildwood Dr + Burton Rd,0,1066,
43.4272,0,2662,-79.6903,,,,,Rebecca St. + Patricia Dr.,0,892,
43.441555,0,2640,-79.739108,,,,,Upper Middle Rd West + Bloomfield Dr,0,1258,
43.474083,0,2208,-79.735098,,,,,Dundas St West + Preserve Dr,0,296,
43.4369,0,2671,-79.6812,,,,,Rebecca St + Dorval Dr,0,297,
43.506475,0,2129,-79.745817,,,,,Trafalgar Rd + Highway 407 GO Carpool,0,1665,
43.464355,0,2522,-79.73568,,,,,Mowat Ave. + River Glen Blvd.,0,295,
43.47345,0,2120,-79.74101,,,,,16 Mile + Gardenia,0,1662,
43.470209,0,2940,-79.680875,,,,,8th Line north of Iroquois Shore Rd,0,290,
43.448256,0,2507,-79.757809,,,,,Third Line + Pine Glen Rd,0,291,
43.441152,0,2708,-79.702008,,,,,373 Wyecroft Rd opposite of Oakville Transit,0,591,
43.4571,0,2949,-79.6985,,,,,Sixth Line + Ridge Dr,0,590,
43.4262,0,2688,-79.7101,,,,,Speers Rd + 1257 Speers Rd,0,1085,
43.4824,0,2927,-79.6374,,,,,Devon Rd + Deer Run Park,0,1084,
43.4409,0,2541,-79.6762,,,,,Rebecca St + Kerr St,0,595,
43.4502,0,2561,-79.6929,,,,,Kerr St + Wyecroft Rd,0,1082,
43.4805,0,2923,-79.6336,,,,,Devon Rd + Canso Rd,0,597,
43.4356,0,3012,-79.7207,,,,,Pilgrims Way west of Old Colony Rd,0,596,
43.4761,0,2918,-79.6355,,,,,Lakeshore Rd East + Ford Dr,0,195,
43.37447,0,2348,-79.721414,,,,,Lakeshore Rd West + Stevenson Rd,0,194,
43.470312,0,2879,-79.707428,,,,,Oakmead Blvd + Upper Middle Rd East,0,197,
43.4433,0,2546,-79.6761,,,,,Bond St + Chisholm St,0,196,
43.5001,0,2450,-79.6517,,,,,Sheridan Garden Dr + Winston Churchill Blvd,0,190,
43.4178,0,2682,-79.7164,,,,,Third Line south of Speers Rd,0,1126,
43.446629,0,2484,-79.720301,,,,,Dorval Dr + Greeneagle Dr,0,192,
43.460169,0,2353,-79.702532,,,,,Sixth Line + Culham St,0,270,
43.4393,0,2672,-79.6857,,,,,Mary St + Dorval Dr,0,271,
43.4504,0,2459,-79.7554,,,,,Pine Glen Rd + Lazio Lane,0,273,
43.434936,0,3304,-79.708661,,,,,South Service Rd West + Redwood Sq,0,275,
43.473393,0,2849,-79.69594,,,,,White Oaks Blvd + Huron St,0,276,
43.464631,0,3388,-79.682569,,,,,North Service Rd East + Iroquois Shore Rd,0,277,
43.5143,0,2282,-79.6742,,,,,Bristol Circle + Plymouth Dr,0,278,
43.47872,0,2933,-79.643996,,,,,Devon Rd + Ash Tree Way,0,279,
43.464624,0,3066,-79.67287,,,,,Cornwall Rd + Chartwell Rd,0,497,
43.4465,0,2480,-79.7116,,,,,Old Abbey Ln + Maidstone Cr,0,524,
43.378359,0,2468,-79.733581,,,,,Burloak Dr + Spruce Ave,0,525,
43.445,0,2431,-79.7534,,,,,Third Line + Liverpool St,0,526,
43.4205,0,2716,-79.7069,,,,,Bridge Rd + Valley Dr,0,46,
43.4898,0,2291,-79.7155,,,,,Postridge Dr + English Rose Ln,0,520,
43.429,0,2590,-79.7315,,,,,Third Line + King's College Dr,0,521,
43.474695,0,3396,-79.673073,,,,,1185 North Service Rd East,0,522,
43.494576,0,2700,-79.706188,,,,,North Ridge Trail + Dunholm Gate,0,523,
43.410267,0,3357,-79.724041,,,,,2245 Speers Rd,0,1014,
43.435,0,2676,-79.6938,,,,,Wildwood Dr + Ashbury Rd,0,1102,
43.44835,0,2319,-79.75845,,,,,Third and Pine Glen,0,1401,
43.4515,0,2306,-79.6714,,,,,Reynolds St + Sheddon Ave,0,1017,
43.4848,0,2247,-79.7014,,,,,8th Line south of Glenashton Dr,0,528,
43.4052,0,3159,-79.6988,,,,,Third Line + Lakeshore Rd West,0,529,
43.4645,0,3346,-79.7228,,,,,River Oaks Blvd West + Munn's Ave,0,1013,
43.467473,0,3392,-79.677641,,,,,North Service Rd East + 8th Line,0,1234,
43.4466,0,3121,-79.6958,,,,,Wyecroft Rd + Sinclair Rd,0,1235,
43.392064,0,2322,-79.751672,,,,,Burloak Dr + Wyecroft Rd,0,449,
43.4517,0,3050,-79.7303,,,,,Westoak Trails Blvd. + Summit Ridge Dr.,0,448,
43.4975,0,2587,-79.6773,,,,,Upper Middle Rd East east of 9th Line,0,1230,
43.402718,0,2623,-79.701431,,,,,Lakeshore Rd West + Windsor Gate,0,1232,
43.476886,0,3061,-79.660976,,,,,Cornwall Rd + 1453 Cornwall Rd,0,1233,
43.464555,0,2904,-79.723036,,,,,Munn's Ave + River Oaks Blvd West,0,440,
43.484904,0,3402,-79.673256,,,,,1425 North Service Rd East,0,447,
43.488564,0,2488,-79.651313,,,,,Ford Dr. south of Royal Windsor Dr.,0,446,
43.494782,0,2297,-79.705859,,,,,North Ridge Trail + Prince Michael Dr,0,445,
43.4441,0,3019,-79.7298,,,,,Pilgrims Way + Nottinghill Gate,0,444,
43.3889,0,2333,-79.7161,,,,,Lakeshore Rd West + Mississaga St,0,108,
43.491151,0,2298,-79.711245,,,,,North Ridge Trail + Nichols Dr,0,109,
43.450427,0,2273,-79.761366,,,,,Third and Dundas,0,588,
43.430939,0,1045,-79.776162,,,,,Valleyridge Dr + Highvalley Rd,0,102,
43.439844,0,3198,-79.753965,,,,,Postmaster Dr. + Springdale Rd.,0,103,
43.465534,0,2750,-79.695673,,,,,McCraney St + Romain Cr,0,100,
43.4809,0,2779,-79.6926,,,,,Lancaster Dr + Ealing Ct,0,106,
43.4776,0,3397,-79.6729,,,,,1303 North Service Rd East,0,107,
43.491477,0,2299,-79.710563,,,,,North Ridge Trail + 8th Line,0,105,
43.4709,0,2893,-79.735,,,,,River Glen Blvd + Ironwood Cr,0,902,
43.3802,0,2467,-79.736,,,,,Burloak Dr + Eaton Ave,0,903,
43.468173,0,2897,-79.71686,,,,,River Oaks Blvd West + 6th Line,0,900,
43.4429,0,2707,-79.7001,,,,,Wyecroft Rd + Weller Ct,0,906,
43.4191,0,3073,-79.7172,,,,,Speers Rd + Third Line,0,1003,
43.48,0,3399,-79.67307,,,,,1315 North Service Rd East,0,904,
43.4696,0,3236,-79.6974,,,,,Sheridan College,0,905,
43.465588,0,3390,-79.679676,,,,,475 North Service Rd East,0,33,
43.436541,0,2670,-79.681488,,,,,Rebecca St. + Dorval Dr.,0,32,
43.5008,0,3191,-79.6617,,,,,Kingsway Dr + Chalfield Dr,0,908,
43.4467,0,2356,-79.755,,,,,Third Line + West Ham Rd,0,30,
43.4411,0,3134,-79.7018,,,,,430 Wyecroft Rd at Oakville Transit,0,36,
43.399081,0,2458,-79.706769,,,,,Lakeshore Rd West + East St,0,44,
43.4029,0,2624,-79.7014,,,,,Lakeshore Rd West + Windsor Gate,0,641,
43.495622,0,3362,-79.678904,,,,,Upper Middle Rd East + Ford Dr,0,1240,
43.406499,0,3193,-79.700857,,,,,3rd Line + Salvator Blvd,0,643,
43.464343,0,3345,-79.723154,,,,,River Oaks Blvd West + Munn's Ave,0,642,
43.416332,0,2421,-79.724001,,,,,Bronte GO Station,0,645,
43.395651,0,2417,-79.716263,,,,,Bronte Rd + Hixon St,0,644,
43.4803,0,2931,-79.641,,,,,Devon Rd + Ford Dr,0,647,
43.4465,0,2981,-79.6869,,,,,Speers Rd + Kerr St,0,1246,
43.4605,0,2597,-79.6723,,,,,Maple Ave + Bohemia Cr,0,436,
43.489242,0,2840,-79.686173,,,,,Upper Middle Rd East + Grand Blvd,0,437,
43.4353,0,2669,-79.6835,,,,,Rebecca St + Weybourne Rd,0,434,
43.4063,0,3352,-79.7279,,,,,2402 Speers Rd,0,435,
43.4074,0,2994,-79.7204,,,,,Bridge Rd + Seymour Dr,0,433,
43.485814,0,2313,-79.653323,,,,,Cornwall Rd. + Cardiff Dr.,0,430,
43.4857,0,2882,-79.7135,,,,,Postridge Dr + Dalebrook Dr,0,431,
43.5102,0,3177,-79.6755,,,,,Winston Park Dr + Plymouth Dr,0,826,
43.4679,0,2604,-79.6638,,,,,Linbrook Rd + Morrison Rd,0,339,
43.431216,0,2494,-79.737989,,,,,Heritage Way + Schoolmaster Cir,0,338,
43.466874,0,2937,-79.682473,,,,,438 Iroquois Shore Rd,0,335,
43.43357,0,2667,-79.685652,,,,,Rebecca St + Morden Rd,0,334,
43.4514,0,2502,-79.739,,,,,Westoak Trails Blvd + Dale Ridge Dr,0,337,
43.46369,0,2612,-79.687646,,,,,Leighland Ave + Trafalgar Rd,0,336,
43.3882,0,2324,-79.7465,,,,,Burloak Dr + Superior Ct,0,331,
43.4794,0,2870,-79.7112,,,,,Glenashton Dr + Taunton Rd,0,330,
43.394675,0,2972,-79.713838,,,,,Bronte Rd + Sovereign St,0,333,
43.4303,0,2664,-79.6892,,,,,Rebecca St + Suffolk Ave,0,332,
43.4152,0,2350,-79.7125,,,,,Third Line + Bridge Rd,0,854,
43.482149,0,2447,-79.693667,,,,,Upper Middle Rd East east of 8th Line,0,855,
43.390982,0,2335,-79.714641,,,,,Lakeshore Rd West + West River St,0,850,
43.4084,0,3354,-79.726,,,,,2335 Speers Rd,0,858,
43.477121,0,3336,-79.722773,,,,,Glenashton Dr + Central Park Dr,0,859,
43.425739,0,2648,-79.7021,,,,,Bridge Rd + Lees Lane,0,748,
43.488531,0,1053,-79.705368,,,,,Kestell Blvd + 8th Line,0,1000,
43.4087,0,2580,-79.7196,,,,,Bridge Rd + Sunset Dr,0,610,
43.4571,0,2948,-79.6982,,,,,6th Line + Ridge Dr,0,425,
43.488643,0,3111,-79.712741,,,,,North Ridge Trail + Postridge Dr,0,98,
43.433251,0,3010,-79.779325,,,,,Dundas St West + Valleyridge Dr,0,94,
43.48022,0,2874,-79.705701,,,,,Golden Briar Trail + Laurelwood Dr,0,97,
43.5042,0,2636,-79.6708,,,,,Upper Middle Rd East + Buckingham Rd,0,150,
43.4132,0,3309,-79.7449,,,,,Halton Region Centre,0,424,
43.431058,0,1041,-79.776064,,,,,Valleyridge Dr + Highvalley Rd,0,696,
43.479278,0,2317,-79.71088,,,,,Glenashton Dr + Taunton Rd,0,814,
43.482447,0,2138,-79.673076,,,,,Opposite 1375 North Service Rd East,0,1629,
43.482447,0,2137,-79.673332,,,,,1375 North Service Rd East,0,1628,
43.428152,0,3123,-79.707767,,,,,1200 Speers Rd,0,762,
43.451916,0,1031,-79.748809,,,,,Proudfoot Trail + Falkland Cr,0,817,
43.4815,0,2929,-79.6399,,,,,Devon Rd + Canning Ct,0,153,
43.4531,0,2220,-79.73394,,,,,Westoak Trails Blvd north of Old Oak Dr,0,427,
43.45211,0,1032,-79.753089,,,,,Pine Glen Rd + Dashwood Dr,0,740,
43.4855,0,3332,-79.702,,,,,8th Line + Glenashton Dr,0,741,
43.474145,0,3438,-79.686407,,,,,8th Line south of Grand Blvd,0,1294,
43.374281,0,3371,-79.727769,,,,,Burloak Dr + Stevenson Rd,0,744,
43.4645,0,2532,-79.7258,,,,,River Oaks Blvd West + Marisha Ct,0,745,
43.476,0,2919,-79.6354,,,,,Lakeshore Rd East + Kingsford Pl,0,746,
43.384003,0,2328,-79.717138,,,,,Lakeshore Rd West + Shore Gardens,0,747,
43.441929,0,2720,-79.692225,,,,,Speers Rd + Dorval Dr,0,555,
43.4657,0,2751,-79.6966,,,,,McCraney St East + Kirstie Ct,0,557,
43.465,0,2965,-79.7004,,,,,McCraney St + Montclair Dr,0,556,
43.467631,0,2244,-79.722567,,,,,Munn's Ave + Margot St,0,551,
43.4479,0,2985,-79.6862,,,,,Speers Rd east of Kerr St,0,550,
43.447,0,2554,-79.6806,,,,,Queen Mary Dr + Stewart St,0,553,
43.4625,0,2956,-79.7168,,,,,Upper Middle Rd + Oxford Ave,0,996,
43.472173,0,2266,-79.683777,,,,,8th Line + Falgarwood Dr,0,238,
43.386003,0,2330,-79.717039,,,,,Lakeshore Rd West + Cudmore Rd,0,239,
43.397188,0,2340,-79.708567,,,,,Lakeshore Rd West + Nelson St,0,235,
43.51333,0,2278,-79.688193,,,,,Bristol Circle + Hyde Park Gate,0,236,
43.4888,0,2455,-79.6977,,,,,Glenashton Dr + Grosvenor St (Iroquois Ridge H.S.),0,237,
43.4353,0,3084,-79.7461,,,,,Postmaster Dr + Upper Middle Rd West,0,231,
43.478572,0,2858,-79.704335,,,,,Golden Briar Trail + Briarhall Gate,0,232,
43.384252,0,2859,-79.741605,,,,,Burloak Dr + Adele Rd,0,233,
43.462,0,2941,-79.6889,,,,,Oakville Place,0,1050,
43.4405,0,2397,-79.7336,,,,,Pilgrims Way + Windrush Dr (Second Stop),0,1051,
43.4303,0,2724,-79.7269,,,,,Abbeywood Dr + Fieldstone Circle,0,1052,
43.4806,0,2514,-79.695,,,,,8th Line + Upper Middle Rd East,0,1053,
43.475326,0,3140,-79.702123,,,,,Trafalgar Rd + Upper Middle Rd East,0,1054,
43.482688,0,3247,-79.715764,,,,,Oak Park Blvd + Taunton Rd,0,1055,
43.432332,0,3004,-79.758752,,,,,Westoak Trails Blvd + Ashmore Dr,0,1056,
43.465063,0,3387,-79.682956,,,,,North Service Rd East + Iroquois Shore Rd,0,1057,
43.4554,0,3002,-79.6792,,,,,Cornwall Rd + Reynolds St,0,1058,
43.441,0,2641,-79.7392,,,,,Upper Middle Rd West + Bishops Gate,0,1190,
43.442504,0,2544,-79.674438,,,,,Rebecca St + Chisholm St,0,1192,
43.5159,0,2452,-79.6894,,,,,Dundas St West + Vega Blvd,0,1197,
43.428015,0,2650,-79.698144,,,,,Bridge Rd + Maplehurst Ave,0,1196,
43.465334,0,3036,-79.744797,,,,,Dundas + Neyagawa,0,918,
43.484175,0,2100,-79.72435,,,,,Ernest Appelbe + Dundas,0,1690,
43.49194,0,2794,-79.655608,,,,,Sheridan Garden Dr. + Ford Dr.,0,614,
43.476957,0,2826,-79.714579,,,,,Glenashton Dr + Caldwell Dr,0,155,
43.420236,0,2084,-79.755189,,,,,Bronte Rd north of Saw Whet Blvd,0,1752,
43.41835,0,2083,-79.751895,,,,,Bronte Rd + Saw Whet Blvd,0,1751,
43.460754,0,2503,-79.719838,,,,,Upper Middle Rd West + Neyagawa Blvd,0,146,
43.404979,0,2625,-79.698825,,,,,3rd Line + Lakeshore Rd West,0,1279,
43.4648,0,2231,-79.7136,,,,,Upper Middle Rd West + Elm Rd,0,144,
43.438829,0,2316,-79.751619,,,,,Westoak Trails Blvd + Postmaster Dr,0,145,
43.437383,0,2976,-79.71116,,,,,1075 North Service Rd West,0,142,
43.406539,0,2618,-79.721025,,,,,Bridge Rd at Underwood Cr (Q.E. Park Community and Cultural Centre),0,143,
43.453439,0,3435,-79.757887,,,,,Dundas St West + Proudfoot Trail,0,140,
43.464,0,3067,-79.673,,,,,Cornwall Rd + Chartwell Rd,0,1198,
43.466268,0,2982,-79.711516,,,,,Upper Middle Rd West + 6th Line,0,1270,
43.4622,0,3420,-79.6736,,,,,Cornwall Road at the Shops of Oakville South,0,1271,
43.4745,0,2207,-79.734094,,,,,Dundas St West + Harman Gt,0,1272,
43.408231,0,3162,-79.70293,,,,,Third Line + Hixon St,0,611,
43.4515,0,2446,-79.7486,,,,,Proudfoot Trail south of Ridgebank Dr,0,616,
43.4081,0,3355,-79.726,,,,,2370 Speers Rd,0,1275,
43.4235,0,2687,-79.7128,,,,,Speers Rd + 1361 Speers Rd,0,1179,
43.380976,0,2862,-79.725883,,,,,Great Lakes Blvd + Nautical Blvd,0,149,
43.449,0,2285,-79.667,,,,,Reynolds St + Randall St,0,1006,
43.4828,0,3244,-79.7163,,,,,Taunton Rd + Oak Park Blvd,0,154,
43.41803,0,3456,-79.752,,,,,Bronte Rd South of Saw Whet Blvd,0,1794,
43.421184,0,1044,-79.760598,,,,,Upper Middle Rd West + Trawden Way,0,1285,
43.4478,0,2563,-79.6942,,,,,220 Wyecroft Rd,0,1287,
43.4562,0,2952,-79.7081,,,,,Oxford Rd + Culham St,0,1281,
43.4581,0,2945,-79.6929,,,,,Leighland Ave + Kent Ave,0,1280,
43.4323,0,3316,-79.7152,,,,,1218 South Service Rd West,0,1283,
43.470752,0,2880,-79.707927,,,,,Oakmead Blvd + Upper Middle Rd East,0,946,
43.4737,0,2269,-79.6971,,,,,White Oaks Blvd + Litchfield Rd,0,947,
43.39137,0,2334,-79.714669,,,,,Lakeshore Rd West + Triller Place,0,944,
43.484108,0,3226,-79.717855,,,,,Taunton Rd + Hays Blvd,0,945,
43.466436,0,2233,-79.711186,,,,,Sixth Line + Upper Middle Rd,0,942,
43.442746,0,2395,-79.7311,,,,,Pilgrims Way + Windrush Dr (First Stop),0,943,
