block_id,bikes_allowed,route_id,wheelchair_accessible,original_trip_id,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_1130,1,11,1,1127020,1,Clarkson GO,shp-11-01,3_merged_2504075,1127020_merged_2505410,
b_2242,1,15,1,,1,Oakville GO,shp-15-01,2_merged_2504076,1583070,
b_1221,1,14A,1,2112020,1,Oakville GO,shp-14A-03,3_merged_2504075,2112020_merged_2505769,
b_1191,1,1,1,189020,0,Oakville GO,shp-1-02,3_merged_2504075,189020_merged_2505404,
b_1187,1,1,1,,1,Trafalgar /407 GO Carpool,shp-1-54,3_merged_2504075,1117020,
b_1133,1,20,1,,0,Uptown Core,shp-20-51,3_merged_2504075,170020,
b_1903,1,19,1,844070,0,Uptown Core,shp-19-51,2_merged_2504076,844070_merged_2505238,
b_1186,1,5,1,,0,Dundas/407 via Uptown Core,shp-5-21,3_merged_2504075,1413020,
b_1217,1,19,1,266020,1,Oakville GO,shp-19-01,3_merged_2504075,266020_merged_2505251,
a_2229,0,28,0,,0,Oakville GO,shp-28-51,2_merged_2504073,2246070,
b_1201,1,3,1,38020,0,South Oakville Centre via Bronte Village,shp-3-51,3_merged_2504075,38020_merged_2505755,
b_1188,1,5,1,1072020,0,Dundas/407 Carpool,shp-5-18,3_merged_2504075,1072020_merged_2505723,
b_1149,1,14,1,1812020,0,Appleby GO via Great Lakes,shp-14-51,3_merged_2504075,1812020_merged_2505910,
a_1126,0,19,0,2277020,1,Oakville GO,shp-19-01,1_merged_2504071,2277020_merged_2504114,
b_2294,1,20,1,,1,Oakville GO,shp-20-01,1_merged_2504074,332010,
a_1221,0,14A,0,59020,0,Appleby GO via Burloak,shp-14A-51,1_merged_2504071,59020_merged_2505086,
a_2272,0,14,0,,0,Appleby GO via Great Lakes,shp-14-52,3_merged_2504072,1624010,
b_1203,1,1,1,1326020,0,Oakville GO,shp-1-02,3_merged_2504075,1326020_merged_2505679,
b_1149,1,14A,1,,1,Oakville GO,shp-14A-03,3_merged_2504075,1176020,
a_2238,0,14,0,,1,Oakville GO via Great Lakes,shp-14-01,2_merged_2504073,196070,
a_1188,0,5,0,,1,Winston Churchill & Dundas,shp-5-63,1_merged_2504071,1707020,
a_1903,0,19,0,,0,Uptown Core,shp-19-51,2_merged_2504073,213070,
b_2236,1,13,1,,0,Oakville GO,shp-13-51,2_merged_2504076,1971070,
b_1214,1,1,1,2193020,1,Trafalgar /407 GO Carpool,shp-1-54,3_merged_2504075,2193020_merged_2505885,
b_1128,1,14A,1,,0,Appleby GO via Burloak,shp-14A-51,3_merged_2504075,1990020,
b_1197,1,4,1,,1,EAST - Clarkson GO,shp-4-01,3_merged_2504075,2007020,
a_1204,0,3,0,,1,Dundas St./Hospital,shp-3-01,1_merged_2504071,1715020,
b_1159,1,28,1,,1,Bronte GO,shp-28-01,3_merged_2504075,677020,
a_1195,0,1,0,,1,Trafalgar /407 GO Carpool,shp-1-54,1_merged_2504071,173020,
b_1214,1,1,1,,0,Oakville GO,shp-1-02,3_merged_2504075,1482020,
a_1169,0,34,0,1504020,0,Pine Glen,shp-34-53,1_merged_2504071,1504020_merged_2504190,
a_2233,0,14A,0,,0,Appleby GO via Burloak,shp-14A-53,2_merged_2504073,161070,
a_2279,0,1,0,,1,Trafalgar /407 GO Carpool,shp-1-54,3_merged_2504072,1280010,
b_1189,1,5,1,678020,1,Winston Churchill & Dundas,shp-5-63,3_merged_2504075,678020_merged_2505714,
b_1198,1,5,1,,1,Winston Churchill & Dundas via Uptown Core,shp-5-64,3_merged_2504075,1047020,
a_1119,0,12,0,469020,1,Clarkson GO,shp-12-01,1_merged_2504071,469020_merged_2504597,
b_1130,1,28,1,157020,1,Bronte GO,shp-28-01,3_merged_2504075,157020_merged_2505504,
b_1187,1,1,1,1097020,1,Trafalgar /407 GO Carpool,shp-1-54,3_merged_2504075,1097020_merged_2505713,
a_2287,0,5,0,837010,0,Dundas/407 Carpool,shp-5-18,3_merged_2504072,837010_merged_2505067,
a_1221,0,19,0,188020,0,Uptown Core,shp-19-51,1_merged_2504071,188020_merged_2504536,
b_1184,1,5,1,2185020,1,Winston Churchill & Dundas via Uptown Core,shp-5-64,3_merged_2504075,2185020_merged_2505662,
