service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,0,0,0,0,0,0,20260703,20260803
2,0,0,0,0,0,0,1,20260703,20260803
3,0,0,0,0,0,1,0,20260703,20260803
4,0,0,0,0,1,0,0,20260703,20260803
5,0,0,1,0,0,0,0,20260703,20260803
6,0,0,0,0,0,0,1,20260703,20260803
7,0,0,1,0,0,0,0,20260703,20260803
8,0,0,0,0,0,1,0,20260703,20260803
9,0,0,0,0,1,0,0,20260703,20260803
10,0,0,0,0,0,0,1,20260703,20260803
11,0,0,0,1,0,0,0,20260703,20260803
12,0,0,0,0,1,0,0,20260703,20260803
13,0,0,0,0,0,0,1,20260703,20260803
14,0,0,1,0,0,0,0,20260703,20260803
15,0,0,0,1,0,0,0,20260703,20260803
16,0,1,0,0,0,0,0,20260703,20260803
17,1,0,0,0,0,0,0,20260703,20260803
18,0,0,0,0,0,1,0,20260703,20260803
19,0,0,0,1,0,0,0,20260703,20260803
JUN26-CFDSUN-Sunday-01,0,0,0,0,0,0,1,20260703,20260803
JUN26-CFDMTh-Weekday-01,1,1,1,1,1,0,0,20260703,20260803
JUN26-CFDFri-Weekday-01,1,1,1,1,1,0,0,20260703,20260803
JUN26-TRILSUN-Sunday-02,0,0,0,0,0,0,1,20260703,20260803
JUN26-TRILLTP-Weekday-01,1,1,1,1,1,0,0,20260703,20260803
JUN26-CFDSAT-Saturday-01,0,0,0,0,0,1,0,20260704,20260803
JUN26-TRILSAT-Saturday-02,0,0,0,0,0,1,0,20260704,20260803
JUN26-MThRED-Weekday-10,1,1,1,1,1,0,0,20260803,20260803
