service_id,date,exception_type
4,20260703,1
9,20260703,2
12,20260703,2
JUN26-CFDMTh-Weekday-01,20260703,2
3,20260704,2
18,20260704,2
2,20260705,2
6,20260705,2
13,20260705,2
1,20260706,2
JUN26-CFDFri-Weekday-01,20260706,2
JUN26-CFDFri-Weekday-01,20260707,2
7,20260708,2
14,20260708,2
JUN26-CFDFri-Weekday-01,20260708,2
11,20260709,2
15,20260709,1
19,20260709,2
JUN26-CFDFri-Weekday-01,20260709,2
4,20260710,2
9,20260710,2
12,20260710,1
JUN26-CFDMTh-Weekday-01,20260710,2
3,20260711,1
8,20260711,2
18,20260711,2
2,20260712,1
6,20260712,2
10,20260712,2
13,20260712,2
1,20260713,2
JUN26-CFDFri-Weekday-01,20260713,2
JUN26-CFDFri-Weekday-01,20260714,2
5,20260715,2
7,20260715,2
14,20260715,1
JUN26-CFDFri-Weekday-01,20260715,2
11,20260716,2
15,20260716,2
19,20260716,1
JUN26-CFDFri-Weekday-01,20260716,2
4,20260717,2
9,20260717,2
12,20260717,1
JUN26-CFDMTh-Weekday-01,20260717,2
3,20260718,2
8,20260718,2
18,20260718,1
2,20260719,2
6,20260719,2
10,20260719,2
13,20260719,1
1,20260720,2
JUN26-CFDFri-Weekday-01,20260720,2
JUN26-CFDFri-Weekday-01,20260721,2
7,20260722,2
14,20260722,2
JUN26-CFDFri-Weekday-01,20260722,2
15,20260723,2
19,20260723,2
JUN26-CFDFri-Weekday-01,20260723,2
4,20260724,2
12,20260724,2
JUN26-CFDMTh-Weekday-01,20260724,2
3,20260725,2
18,20260725,2
2,20260726,2
6,20260726,2
13,20260726,2
1,20260727,2
JUN26-CFDFri-Weekday-01,20260727,2
JUN26-CFDFri-Weekday-01,20260728,2
7,20260729,2
14,20260729,2
JUN26-CFDFri-Weekday-01,20260729,2
15,20260730,2
19,20260730,2
JUN26-CFDFri-Weekday-01,20260730,2
4,20260731,2
12,20260731,2
JUN26-CFDMTh-Weekday-01,20260731,2
3,20260801,2
18,20260801,2
2,20260802,2
6,20260802,2
13,20260802,2
1,20260803,1
17,20260803,2
JUN26-CFDMTh-Weekday-01,20260803,2
JUN26-CFDFri-Weekday-01,20260803,2
