shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1002177,43.365741,-80.980051,0,0
1002177,43.36575,-80.97964,1,61
1002177,43.3658,-80.97951,2,73
1002177,43.36588,-80.9795,3,82
1002177,43.36668,-80.97998,4,185
1002177,43.36751,-80.98048,5,286
1002177,43.368,-80.98158,6,394
1002177,43.36826,-80.98206,7,442
1002177,43.36834,-80.98236,8,468
1002177,43.36889,-80.98358,9,584
1002177,43.36941,-80.98471,10,692
1002177,43.369689,-80.985282,11,770
1002177,43.36973,-80.98533,12,776
1002177,43.370146,-80.986423,13,876
1002177,43.37,-80.98672,14,905
1002177,43.36919,-80.9874,15,1012
1002177,43.368595,-80.987874,16,1110
1002177,43.36766,-80.9887,17,1234
1002177,43.36687,-80.98937,18,1337
1002177,43.366715,-80.989575,19,1383
1002177,43.36648,-80.98974,20,1412
1002177,43.3665,-80.98986,21,1422
1002177,43.36704,-80.99094,22,1533
1002177,43.36754,-80.99205,23,1639
1002177,43.36791,-80.99273,24,1724
1002177,43.36809,-80.99323,25,1769
1002177,43.3681,-80.99333,26,1777
1002177,43.36804,-80.99343,27,1787
1002177,43.36718,-80.99422,28,1902
1002177,43.36655,-80.99471,29,2006
1002177,43.36626,-80.99485,30,2057
1002177,43.36603,-80.99434,31,2130
1002177,43.36576,-80.99372,32,2246
1002177,43.365669,-80.993639,33,2264
1002177,43.36516,-80.99238,34,2381
1002177,43.36464,-80.9912,35,2493
1002177,43.36437,-80.99063,36,2560
1002177,43.3638,-80.98939,37,2679
1002177,43.36373,-80.98935,38,2687
1002177,43.36364,-80.98937,39,2699
1002177,43.363393,-80.989765,40,2761
1002177,43.36304,-80.9899,41,2802
1002177,43.36221,-80.99063,42,2917
1002177,43.361863,-80.990992,43,2985
1002177,43.36085,-80.9918,44,3115
1002177,43.360431,-80.992327,45,3202
1002177,43.36018,-80.99238,46,3230
1002177,43.35935,-80.99309,47,3343
1002177,43.35852,-80.99381,48,3452
1002177,43.3582,-80.99408,49,3507
1002177,43.3575,-80.99467,50,3619
1002177,43.357061,-80.995137,51,3681
1002177,43.35684,-80.99523,52,3707
1002177,43.356234,-80.995843,53,3811
1002177,43.35597,-80.99606,54,3845
1002177,43.35596,-80.99613,55,3852
1002177,43.35646,-80.99725,56,3958
1002177,43.35694,-80.99832,57,4060
1002177,43.357172,-80.998871,58,4126
1002177,43.35775,-81.00014,59,4247
1002177,43.35826,-81.00128,60,4355
1002177,43.35838,-81.00151,61,4378
1002177,43.35841,-81.00155,62,4384
1002177,43.3585,-81.00158,63,4394
1002177,43.35855,-81.00156,64,4400
1002177,43.35938,-81.0008,65,4513
1002177,43.35953,-81.00066,66,4543
1002177,43.36022,-81.00008,67,4646
1002177,43.3611,-80.99932,68,4762
1002177,43.36162,-80.99886,69,4854
1002177,43.36265,-80.99802,70,4987
1002177,43.363056,-80.997535,71,5047
1002177,43.36328,-80.99747,72,5072
1002177,43.36405,-80.99682,73,5172
1002177,43.36434,-80.996491,74,5231
1002177,43.3647,-80.99625,75,5276
1002177,43.36474,-80.99624,76,5282
1002177,43.36483,-80.99631,77,5293
1002177,43.36531,-80.99744,78,5399
1002177,43.36581,-80.99854,79,5504
1002177,43.366053,-80.998908,80,5563
1002177,43.36545,-81.00091,81,5739
1002177,43.365431,-81.000943,82,5744
1002177,43.36542,-81.00155,83,5803
1002177,43.36578,-81.00275,84,5909
1002177,43.365863,-81.003105,85,5954
1002177,43.36596,-81.00347,86,5985
1002177,43.36595,-81.00399,87,6027
1002177,43.36591,-81.00407,88,6035
1002177,43.36511,-81.00439,89,6129
1002177,43.3649,-81.00456,90,6156
1002177,43.36485,-81.00462,91,6164
1002177,43.36482,-81.00468,92,6171
1002177,43.36481,-81.00484,93,6184
1002177,43.36484,-81.00494,94,6193
1002177,43.36538,-81.00607,95,6303
1002177,43.365503,-81.006175,96,6327
1002177,43.36576,-81.0077,97,6454
1002177,43.365953,-81.008178,98,6516
1002177,43.36595,-81.00945,99,6619
1002177,43.3658,-81.01041,100,6700
1002177,43.36573,-81.01056,101,6714
1002177,43.36568,-81.01062,102,6723
1002177,43.36561,-81.01067,103,6732
1002177,43.364852,-81.010814,104,6836
1002177,43.36466,-81.01073,105,6858
1002177,43.36399,-81.00912,106,7014
1002177,43.36349,-81.00816,107,7122
1002177,43.36292,-81.00678,108,7251
1002177,43.36277,-81.00649,109,7280
1002177,43.36269,-81.00647,110,7290
1002177,43.36258,-81.00654,111,7303
1002177,43.362246,-81.006937,112,7374
1002177,43.36131,-81.00768,113,7494
1002177,43.36119,-81.00774,114,7515
1002177,43.36107,-81.00764,115,7531
1002177,43.36057,-81.00652,116,7652
1002177,43.36005,-81.00534,117,7764
1002177,43.35957,-81.00426,118,7867
1002177,43.35909,-81.00318,119,7970
1002177,43.35862,-81.00212,120,8071
1002177,43.35843,-81.00171,121,8120
1002177,43.35782,-81.00035,122,8249
1002177,43.35734,-80.99927,123,8361
1002177,43.35678,-80.99801,124,8481
1002177,43.35625,-80.99685,125,8593
1002177,43.35593,-80.99612,126,8662
1002177,43.35592,-80.99603,127,8670
1002177,43.35593,-80.99594,128,8678
1002177,43.35602,-80.99579,129,8694
1002177,43.356658,-80.995251,130,8798
1002177,43.35767,-80.99442,131,8929
1002177,43.35848,-80.99374,132,9037
1002177,43.35926,-80.99305,133,9142
1002177,43.36013,-80.9923,134,9256
1002177,43.36095,-80.99162,135,9365
1002177,43.360915,-80.991544,136,9376
1002177,43.36109,-80.99147,137,9410
1002177,43.36186,-80.99083,138,9518
1002177,43.3627,-80.99012,139,9628
1002177,43.36311,-80.98971,140,9684
1002177,43.36319,-80.9897,141,9698
1002177,43.36396,-80.98905,142,9804
1002177,43.36479,-80.98839,143,9911
1002177,43.365401,-80.987815,144,9993
1002177,43.36605,-80.98734,145,10093
