trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
04-018:1279123,14:30:00,14:30:00,1001,1,0,,0,0,1
04-018:1279123,14:30:50,14:30:50,1116,2,442,,0,0,0
04-018:1279123,14:31:40,14:31:40,1117,3,770,,0,0,0
04-018:1279123,14:32:30,14:32:30,1118,4,876,,0,0,0
04-018:1279123,14:33:20,14:33:20,1119,5,1110,,0,0,0
04-018:1279123,14:34:10,14:34:10,1120,6,1383,,0,0,0
04-018:1279123,14:35:00,14:35:00,1121,7,1724,,0,0,1
04-018:1279123,14:35:33,14:35:33,1122,8,1902,,0,0,0
04-018:1279123,14:36:06,14:36:06,1123,9,2199,,0,0,0
04-018:1279123,14:36:39,14:36:39,1124,10,2749,,0,0,0
04-018:1279123,14:37:12,14:37:12,1356,11,2920,,0,0,0
04-018:1279123,14:37:45,14:37:45,1125,12,3137,,0,0,0
04-018:1279123,14:38:18,14:38:18,1126,13,3586,,0,0,0
04-018:1279123,14:38:51,14:38:51,1127,14,3882,,0,0,0
04-018:1279123,14:39:24,14:39:24,1128,15,4083,,0,0,0
04-018:1279123,14:40:00,14:40:00,1129,16,4307,,0,0,1
04-018:1279123,14:40:33,14:40:33,1130,17,4524,,0,0,0
04-018:1279123,14:41:06,14:41:06,1131,18,4829,,0,0,0
04-018:1279123,14:41:39,14:41:39,1132,19,5003,,0,0,0
04-018:1279123,14:42:12,14:42:12,1133,20,5133,,0,0,0
04-018:1279123,14:42:45,14:42:45,1134,21,5448,,0,0,0
04-018:1279123,14:43:18,14:43:18,1135,22,5865,,0,0,0
04-018:1279123,14:43:51,14:43:51,1136,23,6176,,0,0,0
04-018:1279123,14:44:24,14:44:24,1137,24,6369,,0,0,0
04-018:1279123,14:45:00,14:45:00,1138,25,6553,,0,0,1
04-018:1279123,14:45:42,14:45:42,1139,26,6885,,0,0,0
04-018:1279123,14:46:24,14:46:24,1140,27,7066,,0,0,0
04-018:1279123,14:47:06,14:47:06,1141,28,7276,,0,0,0
04-018:1279123,14:47:48,14:47:48,1142,29,7649,,0,0,0
04-018:1279123,14:48:30,14:48:30,1143,30,7838,,0,0,0
04-018:1279123,14:49:12,14:49:12,1144,31,8158,,0,0,0
04-018:1279123,14:50:00,14:50:00,1145,32,8444,,0,0,1
04-018:1279123,14:50:42,14:50:42,1146,33,8696,,0,0,0
04-018:1279123,14:51:24,14:51:24,1147,34,8974,,0,0,0
04-018:1279123,14:52:06,14:52:06,1148,35,9442,,0,0,0
04-018:1279123,14:52:48,14:52:48,1149,36,10120,,0,0,0
04-018:1279123,14:53:30,14:53:30,1283,37,10698,,0,0,0
04-018:1279123,14:54:12,14:54:12,1151,38,11006,,0,0,0
04-018:1279123,14:55:00,14:55:00,1152,39,11315,,0,0,1
04-018:1279123,14:55:45,14:55:45,1153,40,11746,,0,0,0
04-018:1279123,14:56:30,14:56:30,1154,41,12050,,0,0,0
04-018:1279123,14:57:15,14:57:15,1077,42,12457,,0,0,0
04-018:1279123,14:58:00,14:58:00,1001,43,12664,,0,0,1
04-003:1279171,07:00:00,07:00:00,1001,1,0,,0,0,1
04-003:1279171,07:00:50,07:00:50,1116,2,442,,0,0,0
04-003:1279171,07:01:40,07:01:40,1117,3,770,,0,0,0
04-003:1279171,07:02:30,07:02:30,1118,4,876,,0,0,0
04-003:1279171,07:03:20,07:03:20,1119,5,1110,,0,0,0
04-003:1279171,07:04:10,07:04:10,1120,6,1383,,0,0,0
04-003:1279171,07:05:00,07:05:00,1121,7,1724,,0,0,1
04-003:1279171,07:05:33,07:05:33,1122,8,1902,,0,0,0
04-003:1279171,07:06:06,07:06:06,1123,9,2199,,0,0,0
04-003:1279171,07:06:39,07:06:39,1124,10,2749,,0,0,0
04-003:1279171,07:07:12,07:07:12,1356,11,2920,,0,0,0
04-003:1279171,07:07:45,07:07:45,1125,12,3137,,0,0,0
04-003:1279171,07:08:18,07:08:18,1126,13,3586,,0,0,0
04-003:1279171,07:08:51,07:08:51,1127,14,3882,,0,0,0
04-003:1279171,07:09:24,07:09:24,1128,15,4083,,0,0,0
04-003:1279171,07:10:00,07:10:00,1129,16,4307,,0,0,1
04-003:1279171,07:10:33,07:10:33,1130,17,4524,,0,0,0
04-003:1279171,07:11:06,07:11:06,1131,18,4829,,0,0,0
04-003:1279171,07:11:39,07:11:39,1132,19,5003,,0,0,0
04-003:1279171,07:12:12,07:12:12,1133,20,5133,,0,0,0
04-003:1279171,07:12:45,07:12:45,1134,21,5448,,0,0,0
04-003:1279171,07:13:18,07:13:18,1135,22,5865,,0,0,0
04-003:1279171,07:13:51,07:13:51,1136,23,6176,,0,0,0
04-003:1279171,07:14:24,07:14:24,1137,24,6369,,0,0,0
04-003:1279171,07:15:00,07:15:00,1138,25,6553,,0,0,1
04-003:1279171,07:15:42,07:15:42,1139,26,6885,,0,0,0
04-003:1279171,07:16:24,07:16:24,1140,27,7066,,0,0,0
04-003:1279171,07:17:06,07:17:06,1141,28,7276,,0,0,0
04-003:1279171,07:17:48,07:17:48,1142,29,7649,,0,0,0
04-003:1279171,07:18:30,07:18:30,1143,30,7838,,0,0,0
04-003:1279171,07:19:12,07:19:12,1144,31,8158,,0,0,0
04-003:1279171,07:20:00,07:20:00,1145,32,8444,,0,0,1
04-003:1279171,07:20:42,07:20:42,1146,33,8696,,0,0,0
04-003:1279171,07:21:24,07:21:24,1147,34,8974,,0,0,0
04-003:1279171,07:22:06,07:22:06,1148,35,9442,,0,0,0
04-003:1279171,07:22:48,07:22:48,1149,36,10120,,0,0,0
04-003:1279171,07:23:30,07:23:30,1283,37,10698,,0,0,0
04-003:1279171,07:24:12,07:24:12,1151,38,11006,,0,0,0
04-003:1279171,07:25:00,07:25:00,1152,39,11315,,0,0,1
04-003:1279171,07:25:45,07:25:45,1153,40,11746,,0,0,0
04-003:1279171,07:26:30,07:26:30,1154,41,12050,,0,0,0
04-003:1279171,07:27:15,07:27:15,1077,42,12457,,0,0,0
04-003:1279171,07:28:00,07:28:00,1001,43,12664,,0,0,1
04-007:1279191,09:00:00,09:00:00,1001,1,0,,0,0,1
04-007:1279191,09:00:50,09:00:50,1116,2,442,,0,0,0
04-007:1279191,09:01:40,09:01:40,1117,3,770,,0,0,0
04-007:1279191,09:02:30,09:02:30,1118,4,876,,0,0,0
04-007:1279191,09:03:20,09:03:20,1119,5,1110,,0,0,0
