stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
1000,Transit Office and Garage,43.359116,-80.997351,0
1001,Transit Terminal,43.365741,-80.980051,0
1002,St. David @ Argyle,43.36574,-80.98228,0
1003,St. David @ Wellington,43.36703,-80.98505,0
1004,Wellington @ Cambria,43.36529,-80.98668,0
1005,Wellington @ West Gore,43.3639,-80.98788,0
1006,Hamlet School,43.36383,-80.99076,0
1007,Monteith @ McFarlane,43.36124,-80.9938,0
1008,Johnson Electric,43.36051,-80.99626,0
1009,Monteith @ Lorne,43.358293,-81.000144,0
1010,Omex Industries,43.359915,-81.004803,0
1011,Wright @ Scotia Bank,43.359623,-81.007523,0
1012,Schaeffler Industries,43.356955,-81.009803,0
1013,Dynamig Industries,43.354066,-81.012286,0
1014,Southwestern Veterinary,43.34865,-81.0169,0
1015,Trillium Hatchery,43.346231,-81.019132,0
1016,CSN Collision,43.34626,-81.020618,0
1017,Hyashi Industries,43.34359,-81.01212,0
1018,F.I.O. Industries,43.34482,-81.01103,0
1019,C.R.P. Industries,43.346837,-81.009364,0
1020,Dunn @ Packham,43.349623,-81.007053,0
1021,Packham @ Erie,43.348239,-81.003709,0
1022,Stricklands,43.34961,-81.00123,0
1023,KIA Motors,43.351168,-80.999832,0
1024,Ford Lane @ Midas,43.35282,-80.9979,0
1025,Service Canada,43.35348,-80.996066,0
1026,Railway @ Lorne,43.35481,-80.99376,0
1027,Army Navy Air Force,43.353647,-80.991197,0
1028,Tirecraft Shop,43.35175,-80.990122,0
1029,U.P.S.,43.35171,-80.98664,0
1030,Humane Society,43.351676,-80.982811,0
1031,Griffith @ Scott,43.352111,-80.977302,0
1032,Home @ Lorne,43.354342,-80.975946,0
1033,Home @ Whitelock,43.357856,-80.977818,0
1034,Home @ Brydges,43.359441,-80.978771,0
1035,Home @ Grant,43.361374,-80.979857,0
1036,Home @ West Gore,43.36257,-80.98051,0
1037,Anne Hathaway Residence,43.361946,-80.977419,0
1039,Taylor @ East Gore,43.361967,-80.973703,0
1040,Guelph @ Nile,43.36399,-80.97666,0
