route_id,service_id,trip_id,trip_headsign,shape_id
4,1279123,04-018:1279123,,1002624
4,1279171,04-003:1279171,,1002624
4,1279191,04-007:1279191,,1002624
5,1279336,05-031:1279336,,1002795
4,1279351,04-030:1279351,,1002624
5,1279360,05-022:1279360,,1002795
4,1279362,04-026:1279362,,1002624
4,1279469,04-016:1279469,,1002624
5,1279724,05-014:1279724,,1002795
4,1279906,04-029:1279906,,1002624
5,1279909,05-011:1279909,,1002795
5,1279968,05-008:1279968,,1002795
5,1280159,05-028:1280159,,1002795
4,1280189,04-004:1280189,,1002624
4,1280192,04-010:1280192,,1002624
5,1280196,05-029:1280196,,1002795
4,1280293,04-006:1280293,,1002624
10,1280418,10-001:1280418,,1002177
4,1280507,04-028:1280507,,1002624
5,1280528,05-021:1280528,,1002795
5,1280538,05-005:1280538,,1002795
5,1280597,05-007:1280597,,1002795
5,1280704,05-015:1280704,,1002795
5,1280767,05-006:1280767,,1002795
4,1280838,04-023:1280838,,1002624
4,1280921,04-013:1280921,,1002624
5,1280939,05-001:1280939,,1002795
5,1281159,05-023:1281159,,1002795
4,1281220,04-001:1281220,,1002624
4,1281330,04-021:1281330,,1002624
4,1281387,04-032:1281387,,1002624
5,1281496,05-012:1281496,,1002795
4,1281529,04-009:1281529,,1002624
4,1281609,04-005:1281609,,1002624
5,1281614,05-020:1281614,,1002795
4,1281636,04-027:1281636,,1002624
5,1281867,05-027:1281867,,1002795
5,1281892,05-032:1281892,,1002795
5,1281918,05-009:1281918,,1002795
4,1281937,04-015:1281937,,1002624
5,1281954,05-025:1281954,,1002795
5,1282080,05-030:1282080,,1002795
4,1282104,04-019:1282104,,1002624
5,1282121,05-026:1282121,,1002795
4,1282143,04-024:1282143,,1002624
8,1282156,08-001:1282156,,1003219
4,1282256,04-008:1282256,,1002624
5,1282311,05-013:1282311,,1002795
4,1282401,04-025:1282401,,1002624
4,1282483,04-012:1282483,,1002624
5,1282695,05-003:1282695,,1002795
5,1282785,05-002:1282785,,1002795
4,1282867,04-011:1282867,,1002624
5,1282876,05-018:1282876,,1002795
4,1282877,04-020:1282877,,1002624
5,1283012,05-019:1283012,,1002795
4,1283160,04-014:1283160,,1002624
5,1283201,05-024:1283201,,1002795
5,1283397,05-017:1283397,,1002795
4,1283459,04-002:1283459,,1002624
5,1283530,05-004:1283530,,1002795
4,1283542,04-022:1283542,,1002624
4,1283577,04-017:1283577,,1002624
4,1283657,04-031:1283657,,1002624
5,1283849,05-016:1283849,,1002795
5,1284100,05-010:1284100,,1002795
3,1297024,03-020:1297024,,1003251
3,1297026,03-003:1297026,,1003251
3,1297027,03-008:1297027,,1003251
3,1297030,03-025:1297030,,1003251
3,1297031,03-026:1297031,,1003251
3,1297034,03-022:1297034,,1003251
3,1297036,03-002:1297036,,1003251
3,1297037,03-021:1297037,,1003251
3,1297039,03-009:1297039,,1003251
3,1297041,03-006:1297041,,1003251
3,1297043,03-028:1297043,,1003251
3,1297046,03-010:1297046,,1003251
3,1297047,03-030:1297047,,1003251
3,1297048,03-004:1297048,,1003251
3,1297049,03-005:1297049,,1003251
