stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
2299,1000,Windsor Transit Terminal,,42.317486,-83.043368,,,0,,1,
1449,1002,Ouellette at Chatham,,42.31788209,-83.0393738,,,0,,1,
1985,1004,Ouellette at Park,,42.31593522,-83.03809096,,,0,,1,
2313,1006,Ouellette at Wyandotte,,42.313499,-83.036628,,,0,,1,
1558,1008,Ouellette at Elliott,,42.31132,-83.035171,,,0,,1,
1574,1010,Ouellette at Erie,,42.30843199,-83.03332483,,,0,,1,
2017,1012,Ouellette at Pine,,42.30689793,-83.03233296,,,0,,1,
1627,1014,Ouellette at Giles,,42.304667,-83.030931,,,0,,1,
1906,1016,Ouellette at Montrose,,42.303677,-83.030285,,,0,,1,
1562,1018,Ouellette at Ellis,,42.301578,-83.028936,,,0,,1,
2120,1020,Ouellette at Shepherd,,42.30022227,-83.028057,,,0,,1,
1684,1022,Ouellette at Hanna,,42.298232,-83.026784,,,0,,1,
1963,1024,Tecumseh E at Ouellette,,42.29655312,-83.02405541,,,0,,1,
1855,1027,Tecumseh at McDougall,,42.297037,-83.021409,,,0,,1,
1704,1029,Howard at Tecumseh E,,42.297252,-83.016887,,,0,,1,
1821,1031,Howard at Logan,,42.2954,-83.015875,,,0,,1,
2355,1033,Howard at Foch,,42.293651,-83.014802,,,0,,1,
2356,1036,Howard at Memorial,,42.29141114,-83.01347101,,,0,,1,
1585,1037,Howard at Eugenie,,42.287868,-83.012839,,,0,,1,
1857,1040,Howard at McDougall,,42.28532712,-83.01245174,,,0,,1,
1556,1043,Howard at Edinborough,,42.28349636,-83.01131464,,,0,,1,
1269,1045,Howard at Charles,,42.28172486,-83.01016355,,,0,,1,
1658,1047,Howard at Grand Marais,,42.27955184,-83.0087982,,,0,,1,
2098,1049,Howard at Roundhouse,,42.27417733,-83.00540444,,,0,,1,
1522,1050,Sydney at Windsor Commons,,42.27198673,-82.99982227,,,0,,1,
107518,2261,Devonshire Mall at Cineplex,,42.273689,-82.999922,,,0,,1,
1511,1048,Howard at Devonshire Mall,,42.27396,-83.004843,,,0,,1,
1657,1046,Howard at Grand Marais,,42.2795554,-83.00845481,,,0,,1,
1270,1044,Howard at Charles,,42.281755,-83.009881,,,0,,1,
1555,1042,Howard at Edinborough,,42.283304,-83.010859,,,0,,1,
1265,1041,Howard at McDougall,,42.2852416,-83.01208669,,,0,,1,
1264,1039,Howard at Hildegard,,42.286858,-83.012622,,,0,,1,
2357,1038,Howard at Eugenie,,42.2888671923793,-83.012487312497,,,0,,1,
1706,1035,Howard at Lens,,42.29241661,-83.01375882,,,0,,1,
1595,1034,Howard at Foch,,42.293831,-83.014666,,,0,,1,
1822,1032,Howard at Logan,,42.295277,-83.015566,,,0,,1,
1705,1030,Tecumseh E at Howard,,42.29796805,-83.01779842,,,0,,1,
1856,1028,Tecumseh E at McDougall,,42.297423,-83.020554,,,0,,1,
1541,1026,Tecumseh E at Goyeau,,42.296799,-83.023758,,,0,,1,
2205,1025,Ouellette at Tecumseh E,,42.296973,-83.02561,,,0,,1,
1685,1023,Ouellette at Hanna,,42.298182,-83.026449,,,0,,1,
2121,1021,Ouellette at Shepherd,,42.30080779,-83.02812104,,,0,,1,
1563,1019,Ouellette at Ellis,,42.302551,-83.029254,,,0,,1,
1907,1017,Ouellette at Montrose,,42.304142,-83.030292,,,0,,1,
1628,1015,Ouellette at Giles,,42.30574273,-83.03133515,,,0,,1,
2018,1013,Ouellette at Pine,,42.307257,-83.032295,,,0,,1,
1575,1011,Ouellette at Erie,,42.30939426,-83.03367885,,,0,,1,
1557,1007,Ouellette at Elliott,,42.31212709,-83.0354363,,,0,,1,
2312,1005,Ouellette at Wyandotte,,42.314483,-83.036934,,,0,,1,
1984,1003,Ouellette at Park,,42.316718,-83.038415,,,0,,1,
1962,1001,Chatham at Ouellette,,42.31820901,-83.03996236,,,0,,1,
1917,1197,Forest Glade at Mulberry,,42.30475919,-82.91291373,,,0,,1,
1570,1205,Forest Glade at Elmwood,,42.30350393,-82.9130189,,,0,,1,
2296,1204,Wildwood at Rosebriar,,42.300419,-82.912153,,,0,,1,
1695,1202,Wildwood at Hemlock,,42.299411,-82.915102,,,0,,1,
1891,1201,Wildwood at Midfield,,42.299358,-82.918171,,,0,,1,
1601,1200,Wildwood at Forest Glade,,42.30160352,-82.91913229,,,0,,1,
