shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
PAUN,43.68293206,-79.6133587,1,0
PAUN,43.68413737,-79.61494042,2,185
PAUN,43.68450764,-79.61537819,3,240
PAUN,43.68492336,-79.61570136,4,293
PAUN,43.68543925,-79.61576975,5,350
PAUN,43.68593236,-79.61553681,6,408
PAUN,43.68685251,-79.61499853,7,519
PAUN,43.68742193,-79.6142979,8,604
PAUN,43.6879795,-79.61395413,9,672
PAUN,43.68845819,-79.61377253,10,727
PAUN,43.68930547,-79.61353336,11,823
PAUN,43.68981936,-79.61337905,12,881
PAUN,43.69073265,-79.61310593,13,985
PAUN,43.69139166,-79.61293813,14,1060
PAUN,43.69251807,-79.61260964,15,1188
PAUN,43.6929566,-79.61246682,16,1238
PAUN,43.69382982,-79.6122984,17,1336
PAUN,43.69415232,-79.61215305,18,1373
PAUN,43.6944219,-79.61196788,19,1407
PAUN,43.6947043,-79.61172509,20,1444
PAUN,43.69507989,-79.61139192,21,1493
PAUN,43.69572979,-79.61079419,22,1580
PAUN,43.69625193,-79.61033162,23,1649
PAUN,43.69665172,-79.61009888,24,1697
PAUN,43.69702871,-79.60993862,25,1741
PAUN,43.6973072,-79.60989184,26,1772
PAUN,43.69758579,-79.60984505,27,1804
PAUN,43.69787863,-79.60990088,28,1837
PAUN,43.69833587,-79.61000515,29,1888
PAUN,43.69931292,-79.61040844,30,2001
PAUN,43.69993992,-79.61065101,31,2074
PAUN,43.70056013,-79.61092775,32,2146
PAUN,43.70080857,-79.61105871,33,2176
PAUN,43.70094488,-79.61116328,34,2193
PAUN,43.70110555,-79.61134129,35,2216
PAUN,43.70122517,-79.61150429,36,2235
PAUN,43.70142901,-79.61183993,37,2270
PAUN,43.70165661,-79.61218208,38,2307
PAUN,43.70185928,-79.61244933,39,2338
PAUN,43.70246622,-79.61319479,40,2429
PAUN,43.70272347,-79.61350761,41,2467
PAUN,43.70340278,-79.61421877,42,2562
PAUN,43.70368307,-79.61438821,43,2596
PAUN,43.70406627,-79.61448661,44,2639
PAUN,43.70442054,-79.61442109,45,2679
PAUN,43.70471807,-79.6142627,46,2714
PAUN,43.70497134,-79.61403917,47,2748
PAUN,43.7051337,-79.61380246,48,2774
PAUN,43.70526583,-79.61346491,49,2805
PAUN,43.7052862,-79.61304719,50,2838
PAUN,43.70531862,-79.61132347,51,2977
PAUN,43.70570023,-79.59239165,52,4504
PAUN,43.70640605,-79.56026062,53,7095
PAUN,43.70681197,-79.53798701,54,8891
PAUN,43.70692964,-79.53251431,55,9332
PAUN,43.70685615,-79.5309654,56,9457
PAUN,43.70658095,-79.52872305,57,9640
PAUN,43.70619106,-79.52661484,58,9816
PAUN,43.70586974,-79.5253557,59,9923
PAUN,43.70512458,-79.52323074,60,10114
PAUN,43.70420467,-79.52113772,61,10311
PAUN,43.70225745,-79.51719039,62,10696
PAUN,43.69932036,-79.51127463,63,11274
PAUN,43.69849677,-79.50957732,64,11438
PAUN,43.69570685,-79.50395283,65,11987
PAUN,43.69132099,-79.49510091,66,12851
PAUN,43.68808325,-79.48854086,67,13491
PAUN,43.68467436,-79.48167154,68,14162
PAUN,43.6826384,-79.4776688,69,14556
PAUN,43.68160289,-79.47582463,70,14744
PAUN,43.68062275,-79.47424892,71,14912
PAUN,43.67966347,-79.47298956,72,15059
PAUN,43.67816792,-79.47102419,73,15288
PAUN,43.67755589,-79.47026551,74,15380
PAUN,43.67684944,-79.46945654,75,15482
