route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
UP,20270103,20270103-4341,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20270103,20270103-4340,UP Express Union Station,1,UP03,PAUN,1,2
UP,20270103,20270103-4339,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20270103,20270103-4338,UP Express Union Station,1,UP04,PAUN,1,2
UP,20270103,20270103-4337,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20270103,20270103-4336,UP Express Union Station,1,UP05,PAUN,1,2
UP,20270103,20270103-4335,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20270103,20270103-4334,UP Express Union Station,1,UP01,PAUN,1,2
UP,20270103,20270103-4333,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20270103,20270103-4332,UP Express Union Station,1,UP02,PAUN,1,2
UP,20270103,20270103-4331,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20270103,20270103-4330,UP Express Union Station,1,UP03,PAUN,1,2
UP,20270103,20270103-4329,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20270103,20270103-4328,UP Express Union Station,1,UP04,PAUN,1,2
UP,20270103,20270103-4327,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20270103,20270103-4326,UP Express Union Station,1,UP05,PAUN,1,2
UP,20270103,20270103-4325,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20270103,20270103-4324,UP Express Union Station,1,UP01,PAUN,1,2
UP,20270103,20270103-4323,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20270103,20270103-4322,UP Express Union Station,1,UP02,PAUN,1,2
UP,20270103,20270103-4321,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20270103,20270103-4320,UP Express Union Station,1,UP03,PAUN,1,2
UP,20270103,20270103-4319,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20270103,20270103-4318,UP Express Union Station,1,UP04,PAUN,1,2
UP,20270103,20270103-4317,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20270103,20270103-4316,UP Express Union Station,1,UP05,PAUN,1,2
UP,20270103,20270103-4315,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20270103,20270103-4314,UP Express Union Station,1,UP01,PAUN,1,2
UP,20270103,20270103-4313,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20270103,20270103-4312,UP Express Union Station,1,UP02,PAUN,1,2
UP,20270103,20270103-4311,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20270103,20270103-4310,UP Express Union Station,1,UP03,PAUN,1,2
UP,20270103,20270103-4309,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20270103,20270103-4308,UP Express Union Station,1,UP04,PAUN,1,2
UP,20270103,20270103-4307,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20270103,20270103-4306,UP Express Union Station,1,UP05,PAUN,1,2
UP,20270103,20270103-4305,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20270103,20270103-4304,UP Express Union Station,1,UP01,PAUN,1,2
UP,20270103,20270103-4241,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20270103,20270103-4240,UP Express Union Station,1,UP02,PAUN,1,2
UP,20270103,20270103-4239,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20270103,20270103-4238,UP Express Union Station,1,UP03,PAUN,1,2
UP,20270103,20270103-4237,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20270103,20270103-4236,UP Express Union Station,1,UP04,PAUN,1,2
UP,20270103,20270103-4235,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20270103,20270103-4234,UP Express Union Station,1,UP05,PAUN,1,2
UP,20270103,20270103-4233,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20270103,20270103-4232,UP Express Union Station,1,UP01,PAUN,1,2
UP,20270103,20270103-4231,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20270103,20270103-4230,UP Express Union Station,1,UP02,PAUN,1,2
UP,20270103,20270103-4229,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20270103,20270103-4228,UP Express Union Station,1,UP03,PAUN,1,2
UP,20270103,20270103-4227,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20270103,20270103-4226,UP Express Union Station,1,UP04,PAUN,1,2
UP,20270103,20270103-4225,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20270103,20270103-4224,UP Express Union Station,1,UP05,PAUN,1,2
UP,20270103,20270103-4223,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20270103,20270103-4222,UP Express Union Station,1,UP01,PAUN,1,2
UP,20270103,20270103-4221,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20270103,20270103-4220,UP Express Union Station,1,UP02,PAUN,1,2
UP,20270103,20270103-4219,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20270103,20270103-4218,UP Express Union Station,1,UP03,PAUN,1,2
UP,20270103,20270103-4217,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20270103,20270103-4216,UP Express Union Station,1,UP04,PAUN,1,2
