service_id,date,exception_type
519,20260209,2
519,20260210,2
519,20260211,2
511,20260207,2
451,20260209,2
451,20260210,2
451,20260211,2
451,20260212,2
453,20260209,2
453,20260210,2
453,20260211,2
453,20260212,2
91,20260208,2
91,20260209,2
91,20260210,2
91,20260211,2
93,20260209,2
93,20260210,2
93,20260211,2
93,20260212,2
484,20260209,2
484,20260210,2
484,20260211,2
484,20260212,2
470,20260207,2
470,20260209,2
470,20260210,2
470,20260211,2
470,20260212,2
478,20260208,2
557,20260209,2
557,20260210,2
557,20260211,2
557,20260212,2
557,20260213,2
