agency_id,stop_id,ticketing_stop_id
1,199,BENN
1,344,ALEX
1,345,YONK
1,346,NIAG
1,347,OCHR
1,340,WVHO
1,341,SARN
1,342,MJLI
1,343,SLAM
1,348,OROK
1,298,MSNH
1,299,WNDG
1,296,AGAS
1,297,THIB
1,294,TELK
1,295,SMRB
1,292,TIMB
1,293,OBRI
1,290,SIPI
1,195,CEDA
1,197,HERC
1,191,ROCH
1,190,BDNC
1,193,BRMT
1,192,LEVA
1,270,USKX
1,273,BBAR
1,274,HOPE
1,276,OSKR
1,277,CHIL
1,278,AMRY
1,449,EDMO
1,448,GRNG
1,442,HUTT
1,441,FITZ
1,440,FING
1,446,DYCE
1,445,TOGO
1,444,JONQ
1,108,SAVL
1,109,ALWB
1,102,AUDN
1,103,FERL
1,100,KAMS
1,101,MUDR
1,106,ARMG
1,107,FLTL
1,104,GSTO
1,105,COLL
1,39,SANF
1,38,STIT
1,33,BIMA
1,32,SSCC
1,31,TRRC
1,37,PBDT
1,36,VDRH
1,35,BRKV
1,34,MALT
1,438,DNST
1,439,CHBD
1,436,OAKV
1,437,HERV
1,435,CHUR
1,432,FFRA
1,433,LTUQ
1,339,VDRY
1,338,BRNL
1,335,WEIR
1,333,PENN
1,332,DORV
1,6,GEOR
1,99,NAKI
1,98,CARA
1,91,HLSP
1,90,BIRD
1,93,LNDN
1,92,OBAX
1,95,LLAC
1,94,SHPN
1,96,HBAY
1,153,OTTM
1,555,XYUL
1,238,ATKL
1,235,MUNK
1,236,WAIN
1,237,NONS
1,230,NEME
1,231,UNIT
1,232,BUTT
1,1,GRIM
1,614,SYRA
1,155,TREM
1,147,CRSM
1,144,RDDT
1,142,MNKI
1,140,FARL
1,141,GLNA
1,616,RVRS
1,617,OTTW
1,148,HOUS
1,149,TPAS
1,132,GMRE
1,131,CNYK
1,130,SPAU
1,134,HRDL
1,492,CHNY
1,24,STGS
1,25,SCHE
1,26,MIQK
1,27,FALR
1,21,JASP
1,22,AMHS
1,28,ROUS
1,29,EARC
1,407,DESS
1,406,TURN
1,405,DRLL
1,404,LBOU
1,403,NFNY
1,401,CORM
1,629,SFOY
1,409,DEVN
1,408,LRIE
1,628,QBEC
1,379,MCGR
1,378,LWTH
1,371,LYDD
1,370,MIKA
1,373,PIKW
1,375,MCLI
1,377,SMTF
1,376,MSBI
1,618,WDON
1,392,CBAT
1,88,ELSA
1,390,CLOV
1,397,BLGC
1,395,MUSK
1,394,LNGL
1,82,CHRT
1,80,CLWT
1,87,CAUS
1,84,CHLO
1,7,STRF
1,170,TPIS
1,245,BRQU
1,244,ALZL
1,247,VBRU
1,246,RAWE
1,241,EVAN
1,240,POUG
1,615,BIGG
1,249,PITS
1,248,POGA
1,458,PRUP
1,459,SHWN
1,621,SUDB
1,620,HLFX
1,450,GUIL
1,453,HEBV
1,454,PGEO
1,455,VKNG
1,456,OPHR
1,457,JOLI
1,179,LPRS
1,178,CBRG
1,177,KOND
1,176,KWIN
1,173,AMST
1,172,DORR
1,171,MCTC
1,198,RCLK
1,183,LEDW
1,182,MWWC
1,180,COQU
1,2,CHEL
1,187,COPE
1,184,LARC
