service_id,date,exception_type
154.35296.3,20260628,1
154.0.74,20260701,1
154.0.1,20260701,2
154.35296.2,20260704,1
154.35296.3,20260705,1
154.35296.2,20260711,1
154.35296.3,20260712,1
154.35296.2,20260718,1
154.35296.3,20260719,1
154.35296.2,20260725,1
154.35296.3,20260726,1
154.35296.2,20260801,1
154.35296.3,20260802,1
154.0.80,20260803,1
154.0.1,20260803,2
154.35296.2,20260808,1
154.35296.3,20260809,1
154.35297.2,20260815,1
154.35298.2,20260815,1
154.35297.3,20260816,1
154.35298.3,20260816,1
154.35296.2,20260822,1
154.35296.3,20260823,1
154.35296.2,20260829,1
154.35296.3,20260830,1
154.35294.1,20260831,1
154.35294.1,20260901,1
154.35294.1,20260902,1
154.35294.1,20260903,1
154.35294.1,20260904,1
154.35296.2,20260905,1
